method,n_runs_x,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,median_set_size_mean,median_set_size_std,p90_set_size_mean,p90_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,ece_top1_mean,ece_top1_std,n_runs_y,top1_action_l2_mean_mean,top1_action_l2_mean_std,set_oracle_action_l2_mean_mean,set_oracle_action_l2_mean_std,action_l2_improvement_vs_top1_mean,action_l2_improvement_vs_top1_std,mean_set_action_diameter_mean,mean_set_action_diameter_std,n_runs,episode_mean_coverage_mean,episode_mean_coverage_std,episode_all_steps_covered_rate_mean,episode_all_steps_covered_rate_std,episode_block_boot_lo95_mean,episode_block_boot_lo95_std,episode_block_boot_hi95_mean,episode_block_boot_hi95_std
coras_aps,9,0.9061447653480789,0.00789776742311612,0.008807131847190302,0.004194206874360348,13.714488048030072,0.5792173739731863,13.444444444444445,0.8819171036881968,21.444444444444443,0.5270462766947299,0.24178473830289388,0.012384597687518581,0.00030993523342616664,0.000332065652769029,0.14858584295688282,0.01272464722526042,9,98.07546912299262,4.2251911728920915,29.01765587754771,0.7907287058966175,69.05781310824847,3.838665464206348,318.5120758029362,12.70358521751112,9,0.9047733807652674,0.00829620703523505,0.01666666666666667,0.025,0.8844443566879678,0.010182040084334668,0.9263438170742556,0.008201037236607495
coras,9,0.9075966683149406,0.009922414864414045,0.010794958653796122,0.005681534434935262,13.517478174672622,0.4732618764766812,13.0,0.5,20.666666666666668,0.5,0.24178473830289388,0.012384597687518581,8.821408516652221e-05,0.00017541691422597405,0.14858584295688282,0.01272464722526042,9,98.07546912299262,4.2251911728920915,29.223351264700952,0.7869092039813532,68.85211772109523,3.753888286357368,318.70225563449003,11.365827337406046,9,0.9060350797237664,0.01052072254557367,0.01666666666666667,0.025,0.8845215516830142,0.012226604827727285,0.9294523795634944,0.010214752245190938
mondrian_domain,9,0.8998031007899302,0.015727763265587093,0.01139643384240297,0.010064423005559724,12.942329160692895,0.7749985600963589,12.11111111111111,0.7817359599705715,21.0,1.5,0.24178473830289388,0.012384597687518581,8.821408516652221e-05,0.00017541691422597405,0.14858584295688282,0.01272464722526042,9,98.07546912299262,4.2251911728920915,29.562822812191932,0.9311820896121656,68.51264617360425,3.7433900694195623,309.2817086891133,11.826710921895266,9,0.9020418792803794,0.014766720085390473,0.005555555555555556,0.01666666666666667,0.8787080737755176,0.017313908420930637,0.9199363460826167,0.014762591377646973
aps_conformal,9,0.9132897251631155,0.008537722235810223,0.013289725163115367,0.00853772223581018,20.601843614154838,0.5704621106703209,21.555555555555557,0.7264831572567789,26.555555555555557,0.5270462766947299,0.1450134437824649,0.009863127128697283,0.0,0.0,0.2094349930862942,0.008918308824216573,9,126.92093149820964,5.732089410973922,28.87578363385741,0.6291522325585588,98.04514365656313,5.352098220351539,390.6422018751416,8.647777290205367,9,0.9148495118334723,0.0088795382139578,0.022222222222222223,0.026352313834736494,0.8876675272532388,0.008402668903765762,0.9371953466991868,0.009324346691215162
vanilla_conformal,9,0.9141700956581987,0.0075407408309457625,0.014170095658198668,0.007540740830945771,20.638667280190262,0.4398205263800888,21.0,0.7071067811865476,27.86666666666669,0.33166247903553536,0.1450134437824649,0.009863127128697283,0.0,0.0,0.2094349930862942,0.008918308824216573,9,126.92093149820964,5.732089410973922,28.972201813846976,0.6141341987941774,97.94872547657357,5.382613063948669,389.475672348898,7.672288039765914,9,0.9151770345506063,0.008074886673701834,0.022222222222222223,0.03632415786283895,0.889137526470861,0.008198099951377425,0.9372129635130173,0.007927665428617905
temperature_conformal,9,0.9130025004872712,0.010722602448591249,0.01499621890868298,0.007223222639889937,20.773811264168714,0.4233461957634414,21.11111111111111,0.6009252125773316,26.11111111111111,0.6009252125773316,0.1450134437824649,0.009863127128697283,0.0,0.0,0.02793257708030254,0.00570272023633663,9,126.92093149820964,5.732089410973922,28.91311103295503,0.6349874555458684,98.00781625746552,5.465851091329139,394.3861309348536,7.528815336979849,9,0.9144131631966166,0.010778092894418074,0.03333333333333333,0.04330127018922194,0.8864416125153466,0.011324431171546133,0.9378071072079034,0.010631351927403375
topk_calibrated,9,0.9164424346105255,0.009774521742337214,0.016442434610525466,0.009774521742337226,22.555555555555557,0.7264831572567789,22.555555555555557,0.7264831572567789,22.555555555555557,0.7264831572567789,0.1450134437824649,0.009863127128697283,0.0,0.0,0.2094349930862942,0.008918308824216573,9,126.92093149820964,5.732089410973922,28.556380145490436,0.6127513883051805,98.3645471449301,5.515876411921677,413.902101330777,7.237720419369157,9,0.9181861821083189,0.010174969717180262,0.005555555555555556,0.01666666666666667,0.8890080189081618,0.010591682416212493,0.9417486430478197,0.00989743701307779
prompt_only_top1,9,0.24178473830289388,0.012384597687518581,0.6582152616971061,0.012384597687518564,1.0,0.0,1.0,0.0,1.0,0.0,0.24178473830289388,0.012384597687518581,0.7582152616971061,0.012384597687518564,0.14858584295688282,0.01272464722526042,9,98.07546912299262,4.2251911728920915,98.07546898579618,4.225192602975881,0.0,0.0,0.0,0.0,9,0.2431647929809847,0.012463151321370446,0.0,0.0,0.21153315609558832,0.011784596147465702,0.27286602670814886,0.015854598939676546
top1_singleton,9,0.1450134437824649,0.009863127128697283,0.7549865562175352,0.009863127128697254,1.0,0.0,1.0,0.0,1.0,0.0,0.1450134437824649,0.009863127128697283,0.8549865562175349,0.009863127128697273,0.2094349930862942,0.008918308824216573,9,126.92093149820964,5.732089410973922,126.92092729042055,5.732089282272071,0.0,0.0,0.0,0.0,9,0.14758631847894865,0.011202347091042713,0.0,0.0,0.12315975324455058,0.011379245376283124,0.16851394853042367,0.010975033448910923
