method,n_runs_x,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,median_set_size_mean,median_set_size_std,p90_set_size_mean,p90_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,ece_top1_mean,ece_top1_std,n_runs_y,top1_action_l2_mean_mean,top1_action_l2_mean_std,set_oracle_action_l2_mean_mean,set_oracle_action_l2_mean_std,action_l2_improvement_vs_top1_mean,action_l2_improvement_vs_top1_std,mean_set_action_diameter_mean,mean_set_action_diameter_std,n_runs,episode_mean_coverage_mean,episode_mean_coverage_std,episode_all_steps_covered_rate_mean,episode_all_steps_covered_rate_std,episode_block_boot_lo95_mean,episode_block_boot_lo95_std,episode_block_boot_hi95_mean,episode_block_boot_hi95_std
topk_calibrated,9,0.9086712813472635,0.03182288369894586,0.0253399357292858,0.019362581220890476,100.77777777777777,4.8419463487779835,100.77777777777777,4.8419463487779835,100.77777777777777,4.8419463487779835,0.06388944848343468,0.020017481653592014,0.0,0.0,0.22967080561757744,0.026125606845448426,9,0.7988256480958726,0.04127601560576587,0.31013201509780647,0.020907017917647895,0.48869363721870357,0.02532383711193517,2.406564533259923,0.055035551864319306,9,0.9121593400985408,0.03612390518598901,0.024691358024691357,0.07407407407407407,0.879923289348779,0.04206255835420368,0.9388394328725271,0.02762059713220301
temperature_conformal,9,0.9053706629435102,0.03613453321595232,0.02681832322095871,0.023000624900475254,99.83423073607874,4.872421284334976,100.55555555555556,4.666666666666667,108.77777777777777,4.206476488041321,0.06388944848343468,0.020017481653592014,0.0,0.0,0.023797891202995313,0.015066586180949953,9,0.7988256480958726,0.04127601560576587,0.3109348055468588,0.022350218075422368,0.4878908467696512,0.024562043437807355,2.3909422745000546,0.05931583086056516,9,0.9066192504975148,0.042501577637895215,0.012345679012345678,0.037037037037037035,0.8692785204370297,0.05310434058557128,0.9392670617847193,0.025641083543976626
aps_conformal,9,0.9044775454011026,0.03760848584336868,0.029472089249116398,0.021442320806195205,99.90330331741481,5.52048376260859,102.33333333333333,4.847679857416329,110.77777777777777,3.7675515184857717,0.06388944848343468,0.020017481653592014,0.0,0.0,0.22967080561757744,0.026125606845448426,9,0.7988256480958726,0.04127601560576587,0.31109886682349513,0.02275062349870042,0.48772678549301485,0.024310961406735807,2.3881870227439426,0.06083810753015683,9,0.9011885440925107,0.046900964567110855,0.024691358024691357,0.07407407407407407,0.8636943492261597,0.059362862307502325,0.9397902442945162,0.024511444122568227
vanilla_conformal,9,0.9051629706515159,0.04135349006735766,0.03376779333428259,0.021384634435567,100.3932489827767,6.5452952296620275,103.44444444444444,6.306962642808167,115.66666666666667,4.387482193696061,0.06388944848343468,0.020017481653592014,0.0,0.0,0.22967080561757744,0.026125606845448426,9,0.7988256480958726,0.04127601560576587,0.3113751127499422,0.023456668238195404,0.48745053956656786,0.024028177779493076,2.38720695690273,0.06373132443498124,9,0.8992535443494165,0.053025985038324557,0.024691358024691357,0.07407407407407407,0.8591014861877254,0.06863818008712741,0.9428635924211586,0.024980395830444115
coras,9,0.9003900266725662,0.04149529880733982,0.03467501985774846,0.019219243783620554,98.99387930555991,5.7462223140803355,99.55555555555556,6.043821454822915,107.77777777777777,4.6844897741850655,0.07133010726630432,0.017862248007509785,0.0,0.0,0.12666146072036286,0.033832242334526266,9,0.7472120390997993,0.04891715554787388,0.31160852011728274,0.02317652777127396,0.4356035077604752,0.04286548177898184,2.332528120054861,0.15363405639965202,9,0.8981564230004879,0.05297379280085912,0.04938271604938271,0.11264375056107814,0.8547115469905552,0.06571969240034119,0.9390858398424267,0.025913689591783393
coras_aps,9,0.897928965185548,0.042791875576582004,0.03625809379600137,0.018894163444833776,98.40602457242116,5.838824730708515,98.88888888888889,5.7975090436420285,104.88888888888889,4.4565806523736455,0.07133010726630432,0.017862248007509785,0.0,0.0,0.12666146072036286,0.033832242334526266,9,0.7472120390997993,0.04891715554787388,0.31186599681497074,0.023257574269596907,0.43534603106278724,0.04285590691531682,2.3296696179176237,0.15332013547852885,9,0.8955179975976514,0.054444318201318904,0.0617283950617284,0.11264375056107814,0.8506225668035463,0.0658045508521581,0.9374577526766187,0.02797475369114046
mondrian_domain,9,0.8794918342118543,0.053813371232377,0.0496087346222766,0.02450269425411313,94.8725212019662,11.597157232709309,96.0,10.488088481701515,111.22222222222223,7.084803768944094,0.07133010726630432,0.017862248007509785,0.0,0.0,0.12666146072036286,0.033832242334526266,9,0.7472120390997993,0.04891715554787388,0.3143735417518095,0.02379049414450289,0.43283848612594844,0.0437650616700295,2.322664021735722,0.1616181519180124,9,0.8834756878109618,0.057458208922121355,0.0617283950617284,0.08072035080630877,0.8163440887606945,0.0954171527394849,0.9373116336316463,0.024008083316140773
prompt_only_top1,9,0.07133010726630432,0.017862248007509785,0.8286698927336957,0.017862248007509754,1.0,0.0,1.0,0.0,1.0,0.0,0.07133010726630432,0.017862248007509785,0.9286698927336956,0.017862248007509757,0.12666146072036286,0.033832242334526266,9,0.7472120390997993,0.04891715554787388,0.747212027877758,0.048917157015347,0.0,0.0,0.0,0.0,9,0.07972876951940912,0.01952256065758235,0.0,0.0,0.046424870980401704,0.009973403938073664,0.10701453940182434,0.028479646115626076
top1_singleton,9,0.06388944848343468,0.020017481653592014,0.8361105515165652,0.020017481653592024,1.0,0.0,1.0,0.0,1.0,0.0,0.06388944848343468,0.020017481653592014,0.9361105515165653,0.020017481653592045,0.22967080561757744,0.026125606845448426,9,0.7988256480958726,0.04127601560576587,0.7988256523165101,0.04127600322306026,0.0,0.0,0.0,0.0,9,0.07823006631757051,0.024687654233943052,0.0,0.0,0.03443179696853779,0.006372910774063798,0.1148454890362244,0.04040745921174267
