method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,3846,0.903796151846074,95.9009360374415,0.3070708811283111,0.5087243318557739,0.8110514879226685,1.1836299896240234,0.3048908808280714,0.5156161189079285,0.5061605827673665,2.340494752023224,2.558920621871948,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.10
coras,0.1,3846,0.9157566302652106,96.00130005200208,0.3070708811283111,0.5087243318557739,0.7031520009040833,1.12726891040802,0.3027067463883759,0.5109482407569885,0.4004452290033773,2.132031308011468,2.1604108810424805,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.10
coras_aps,0.1,3846,0.9183567342693708,96.05772230889237,0.3070708811283111,0.5087243318557739,0.7031520009040833,1.12726891040802,0.3026079182995912,0.5105136930942535,0.400544057092162,2.130537278101708,2.1604108810424805,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.10
mondrian_domain,0.1,3846,0.8036921476859075,71.18278731149246,0.3070708811283111,0.5087243318557739,0.7031520009040833,1.12726891040802,0.3155420200983513,0.5424288511276245,0.387609955293402,2.0551126847587025,2.137319564819336,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.10
prompt_only_top1,0.1,3846,0.0577223088923556,1.0,0.3070708811283111,0.5087243318557739,0.7031520009040833,1.12726891040802,0.7031519753917532,1.12726891040802,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.10
temperature_conformal,0.1,3846,0.9147165886635464,98.58684347373897,0.3070708811283111,0.5087243318557739,0.8110514879226685,1.1836299896240234,0.3037349496335101,0.5112299621105194,0.5073165139619279,2.358986886354765,2.558920621871948,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.10
top1_singleton,0.1,3846,0.0520020800832033,1.0,0.3070708811283111,0.5087243318557739,0.8110514879226685,1.1836299896240234,0.811051463595438,1.1836299300193789,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.10
topk_calibrated,0.1,3846,0.9264170566822671,102.0,0.3070708811283111,0.5087243318557739,0.8110514879226685,1.1836299896240234,0.3025577828816941,0.510583758354187,0.5084936807137438,2.3847468631439885,2.558920621871948,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.10
vanilla_conformal,0.1,3846,0.8954758190327613,94.60452418096725,0.3070708811283111,0.5087243318557739,0.8110514879226685,1.1836299896240234,0.3057842693081899,0.5171242356300354,0.505267194287248,2.3331099183560657,2.558920621871948,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.10
aps_conformal,0.1,4431,0.8526292033401038,93.2534416610246,0.3313435018062591,0.5600951910018921,0.8685721158981323,1.276405930519104,0.333838539020436,0.5903748869895935,0.5347335703956407,2.29650605096152,2.558920621871948,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,4431,0.8553373956217558,91.37711577522003,0.3313435018062591,0.5600951910018921,0.7530099749565125,1.2141621112823486,0.3331201839794833,0.5883563160896301,0.4198897829467627,2.125761166621858,2.1604108810424805,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,4431,0.8501466937485895,89.68201308959603,0.3313435018062591,0.5600951910018921,0.7530099749565125,1.2141621112823486,0.3336856614466638,0.5898268222808838,0.4193243054795822,2.1225065723064924,2.137319564819336,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,4431,0.8275784247348228,83.48770029338749,0.3313435018062591,0.5600951910018921,0.7530099749565125,1.2141621112823486,0.3361367617007172,0.6001584529876709,0.4168732052255288,2.1134151601274835,2.137319564819336,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,4431,0.0494245091401489,1.0,0.3313435018062591,0.5600951910018921,0.7530099749565125,1.2141621112823486,0.7530099669262461,1.2141621112823486,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,4431,0.8575942225231324,93.01828029790116,0.3313435018062591,0.5600951910018921,0.8685721158981323,1.276405930519104,0.332987877875743,0.5903468132019043,0.5355842315403337,2.2938864977950035,2.558920621871948,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,4431,0.0383660573234032,1.0,0.3313435018062591,0.5600951910018921,0.8685721158981323,1.276405930519104,0.8685721094160768,1.276405930519104,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,4431,0.8679756262694651,94.0,0.3313435018062591,0.5600951910018921,0.8685721158981323,1.276405930519104,0.3308573832678249,0.5828248262405396,0.5377147261482518,2.3064078776461363,2.558920621871948,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,4431,0.8499210110584519,93.34958248702324,0.3313435018062591,0.5600951910018921,0.8685721158981323,1.276405930519104,0.335063922964709,0.5975237488746643,0.5335081864513677,2.3000642075761397,2.558920621871948,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
aps_conformal,0.1,3261,0.8564857405703772,95.51671266482674,0.3358393907546997,0.5931164622306824,0.8168300986289978,1.3081101179122925,0.3326293284612388,0.616207480430603,0.4842007361402137,2.3122728071268335,2.558920621871948,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.40
coras,0.1,3261,0.8408463661453542,93.37442502299908,0.3358393907546997,0.5931164622306824,0.7561967372894287,1.214829683303833,0.3360323300937859,0.6359381079673767,0.42016439293664,2.131541014887445,2.137319564819336,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.40
coras_aps,0.1,3261,0.8380864765409384,92.55903097209443,0.3358393907546997,0.5931164622306824,0.7561967372894287,1.214829683303833,0.3364253852789726,0.6361402869224548,0.4197713377514533,2.1288495529140294,2.137319564819336,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.40
mondrian_domain,0.1,3261,0.8500459981600736,98.25176326280284,0.3358393907546997,0.5931164622306824,0.7561967372894287,1.214829683303833,0.3382991275070958,0.6420462131500244,0.4178975955233302,2.179043951117894,2.3565876483917236,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.40
prompt_only_top1,0.1,3261,0.0659306961054891,1.0,0.3358393907546997,0.5931164622306824,0.7561967372894287,1.214829683303833,0.756196723030426,1.214829683303833,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.40
temperature_conformal,0.1,3261,0.8570990493713585,95.557497700092,0.3358393907546997,0.5931164622306824,0.8168300986289978,1.3081101179122925,0.3323586757482755,0.6156659722328186,0.4844713888531771,2.3195423260308305,2.558920621871948,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.40
top1_singleton,0.1,3261,0.0665440049064704,1.0,0.3358393907546997,0.5931164622306824,0.8168300986289978,1.3081101179122925,0.8168300646014526,1.3081101179122925,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.40
topk_calibrated,0.1,3261,0.8659920269855872,97.0,0.3358393907546997,0.5931164622306824,0.8168300986289978,1.3081101179122925,0.330421255699398,0.6051682233810425,0.4864088089020545,2.3430396721283375,2.558920621871948,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.40
vanilla_conformal,0.1,3261,0.8564857405703772,95.61085556577736,0.3358393907546997,0.5931164622306824,0.8168300986289978,1.3081101179122925,0.333761733112847,0.6185704469680786,0.4830683314886055,2.305303757924019,2.558920621871948,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.40
aps_conformal,0.1,2836,0.9647390691114246,110.3413258110014,0.3098030388355255,0.5129247903823853,0.7691578269004822,1.2136574983596802,0.2987337571296877,0.4974861741065979,0.4704241067632817,2.45764057247864,2.558920621871948,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.10
coras,0.1,2836,0.9675599435825106,110.85296191819464,0.3098030388355255,0.5129247903823853,0.7610576152801514,1.1817448139190674,0.2996674310245218,0.5025264322757721,0.4613901761062285,2.4819934062123803,2.558920621871948,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.10
coras_aps,0.1,2836,0.964033850493653,109.8935119887165,0.3098030388355255,0.5129247903823853,0.7610576152801514,1.1817448139190674,0.3000129156868132,0.5036259293556213,0.4610446914439372,2.4749414457588843,2.558920621871948,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.10
mondrian_domain,0.1,2836,0.9668547249647392,109.6209449929478,0.3098030388355255,0.5129247903823853,0.7610576152801514,1.1817448139190674,0.2996761336021535,0.5025264322757721,0.4613814735285969,2.4754325452409107,2.558920621871948,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed1_calib0.10
prompt_only_top1,0.1,2836,0.0669957686882933,1.0,0.3098030388355255,0.5129247903823853,0.7610576152801514,1.1817448139190674,0.7610576071307504,1.1817447543144226,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed1_calib0.10
temperature_conformal,0.1,2836,0.9657968970380818,109.31029619181946,0.3098030388355255,0.5129247903823853,0.7691578269004822,1.2136574983596802,0.2986982594899655,0.4951622039079666,0.470459604403004,2.4518921164262446,2.558920621871948,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed1_calib0.10
top1_singleton,0.1,2836,0.0839210155148095,1.0,0.3098030388355255,0.5129247903823853,0.7691578269004822,1.2136574983596802,0.7691578638929695,1.2136574983596802,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed1_calib0.10
topk_calibrated,0.1,2836,0.9686177715091678,111.0,0.3098030388355255,0.5129247903823853,0.7691578269004822,1.2136574983596802,0.2982851562637977,0.4942657500505447,0.4708727076291717,2.4684889802475407,2.558920621871948,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed1_calib0.10
vanilla_conformal,0.1,2836,0.9693229901269392,112.05112834978844,0.3098030388355255,0.5129247903823853,0.7691578269004822,1.2136574983596802,0.2985878022051349,0.4986473768949508,0.4705700616878345,2.465701218594617,2.558920621871948,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed1_calib0.10
aps_conformal,0.1,2538,0.9247438928289992,103.94562647754135,0.3166801929473877,0.5201101303100586,0.8002802729606628,1.2090107202529907,0.3130824923958597,0.5247847616672517,0.4871977441144228,2.395458813630473,2.558920621871948,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.25
coras,0.1,2538,0.917651694247439,102.66706067769896,0.3166801929473877,0.5201101303100586,0.8164916634559631,1.2506473064422607,0.3156237895662879,0.5366826117038727,0.5008678517914968,2.4128987957775547,2.558920621871948,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.25
