method,alpha,calib_frac,runs,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,singleton_rate_mean,singleton_rate_std,ece_top1_mean,ece_top1_std
aps_conformal,0.05,0.1,5,0.9537420999850997,0.020498720424602344,0.0162473459035194,0.010379372249001931,12.211006868063286,2.2012788744728904,0.467306357454642,0.10744382383328785,0.00039920159680638,0.0008926419071855286,0.00971646450688366,0.01760623151680044,0.23285894408120056,0.08750646608200742
aps_conformal,0.05,0.25,5,0.9581181128756511,0.015372707926120461,0.015427349823442219,0.004603905037084493,12.201157220968266,1.1975448918542126,0.4689523372793972,0.09560969650013379,0.0,0.0,0.0011764705882352801,0.002630668208823251,0.2345658634134869,0.08277133327265045
aps_conformal,0.05,0.4,5,0.9600121682531343,0.015647465972186143,0.01485688875002876,0.00970765953248508,12.061527649772126,1.2259332825635267,0.47144936467042964,0.08158034043750409,0.0,0.0,0.00358565737051792,0.00801777362450122,0.23023583124898184,0.07087634848605413
aps_conformal,0.1,0.1,5,0.9156856774701112,0.016331502284476072,0.01800104673158804,0.013008514892071978,9.746652673427048,1.7816865088182265,0.467306357454642,0.10744382383328785,0.00125118047426294,0.0011434845524031078,0.0460607446309304,0.03697116776504407,0.23285894408120056,0.08750646608200742
aps_conformal,0.1,0.25,5,0.9236947428007387,0.016344340148155372,0.0238553853710197,0.016049586797491633,10.07758823322994,1.3433140618588701,0.4689523372793972,0.09560969650013379,0.0004123711340206,0.0009220898876287376,0.032518312657873735,0.013546998911228885,0.2345658634134869,0.08277133327265045
aps_conformal,0.1,0.4,5,0.9178401837933998,0.02623662254328041,0.025873310087395796,0.01579288894117408,9.862738534274886,1.2744623784962903,0.47144936467042964,0.08158034043750409,0.00041407867494824,0.0009259080652173037,0.03961030818524815,0.02837225446241901,0.23023583124898184,0.07087634848605413
aps_conformal,0.2,0.1,5,0.871754642695888,0.02089626122798771,0.07175464269588791,0.020896261227987677,7.6320408856333755,1.4922664014579614,0.467306357454642,0.10744382383328785,0.00541461974572844,0.003961324454665369,0.1166580397301094,0.06744272742355178,0.23285894408120056,0.08750646608200742
aps_conformal,0.2,0.25,5,0.8731009466796174,0.02647002852420285,0.0731009466796172,0.026470028524202858,7.625936167242321,0.9769834635738677,0.4689523372793972,0.09560969650013379,0.00608534672212622,0.002969145849837336,0.11355185619677739,0.03535041191108678,0.2345658634134869,0.08277133327265045
aps_conformal,0.2,0.4,5,0.8760686101800985,0.026053065780188032,0.07606861018009835,0.026053065780188046,7.627595731943832,1.1366647027633006,0.47144936467042964,0.08158034043750409,0.00805528540187222,0.0031706773894601284,0.11337631610485807,0.055608041620210255,0.23023583124898184,0.07087634848605413
coras,0.05,0.1,5,0.9551348674786444,0.011037159063830682,0.00652827114749722,0.010074946898633983,9.479173748484476,1.5079346723417009,0.5913906041000815,0.03312356310203842,0.0,0.0,0.07227610429081179,0.04958793401705537,0.11695931543585769,0.014866246277936092
coras,0.05,0.25,5,0.9596503493273557,0.01145946232873367,0.011918390564469158,0.00837680055150092,9.544975024253919,1.212998162560413,0.6076393750678991,0.016973637086663596,0.00039215686274507997,0.0008768894029410536,0.07055148626649542,0.028708550994377326,0.10082628864678198,0.023948763656609057
coras,0.05,0.4,5,0.9501984350022198,0.012077179601191122,0.00972720579910972,0.005256835726866828,8.997006540548474,1.5583934292612,0.6240905317139733,0.038806049315760476,0.00121089142395222,0.0017908100434963134,0.0903700104513455,0.040783488467606356,0.1004792961102392,0.02953157544041632
coras,0.1,0.1,5,0.905208830376749,0.026974374293630542,0.02189545712325598,0.01273844408099462,6.299969776755837,1.7626335122905137,0.5913906041000815,0.03312356310203842,0.00488793810515994,0.005592384111883665,0.17160445537554306,0.0884231525498019,0.11695931543585769,0.014866246277936092
coras,0.1,0.25,5,0.9090228040862964,0.022735558644992437,0.0156091494678224,0.017723217399458483,6.284112095376001,1.4579544742246628,0.6076393750678991,0.016973637086663596,0.0039839963501683605,0.0036672609543014828,0.16652005321819058,0.056723056845318254,0.10082628864678198,0.023948763656609057
coras,0.1,0.4,5,0.8999635090650063,0.018794981032538623,0.012680838505010061,0.012338897641654252,5.985602797336498,1.2110710255959434,0.6240905317139733,0.038806049315760476,0.00880508124953746,0.007768990619019044,0.18531443849567059,0.059401863685534136,0.1004792961102392,0.02953157544041632
coras,0.2,0.1,5,0.8033763877367225,0.026039751306616343,0.019184770970255338,0.015239729141944939,3.110901283625141,0.9346032875672048,0.5913906041000815,0.03312356310203842,0.04262745180513922,0.023618936889618705,0.3534897359372139,0.10624601426770275,0.11695931543585769,0.014866246277936092
coras,0.2,0.25,5,0.8012834027594045,0.02618934350096622,0.019144852224597442,0.0151586248696267,3.1058118995539052,0.8814131129584736,0.6076393750678991,0.016973637086663596,0.04486702113290278,0.025461107002555813,0.3531190589959238,0.08626678035063375,0.10082628864678198,0.023948763656609057
