n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,target_coverage,coverage_gap,abs_coverage_gap,method,alpha,tau_or_k,temperature,device,seed,calib_frac,n_calib,result_file
501,0.5109780439121756,0.4890219560878244,1.0,1.0,1.0,0.5109780439121756,1.0,0.0,0.0,0.4890219560878243,0.2031950275163931,376,0.5664893617021277,0.4335106382978723,0.95,-0.4390219560878243,0.4390219560878243,top1_singleton,0.05,1,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9500998003992016,0.0499001996007983,13.0,13.0,13.0,0.5109780439121756,0.0,1.0,0.0,0.0,0.2031950275163931,376,0.9813829787234044,0.0,0.95,9.980039920165495e-05,9.980039920165495e-05,topk_calibrated,0.05,13,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9201596806387226,0.0798403193612774,9.157684630738522,11.0,13.0,0.5109780439121756,0.0379241516966067,0.9620758483033932,0.0,0.0019960079840319,0.2031950275163931,376,0.9707446808510638,0.0,0.95,-0.0298403193612774,0.0298403193612774,vanilla_conformal,0.05,0.9982725188776134,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9221556886227544,0.0778443113772454,10.497005988023952,11.0,13.0,0.5109780439121756,0.0079840319361277,0.9920159680638724,0.0,0.0019960079840319,0.2031950275163931,376,0.9707446808510638,0.0,0.95,-0.0278443113772454,0.0278443113772454,aps_conformal,0.05,0.9981139853586783,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9181636726546906,0.0818363273453094,9.746506986027944,11.0,13.0,0.5109780439121756,0.0039920159680638,0.996007984031936,0.0,0.0019960079840319,0.0928574886875088,376,0.9680851063829788,0.0,0.95,-0.0318363273453093,0.0318363273453093,temperature_conformal,0.05,0.9833400530945884,1.8828707933425903,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.6227544910179641,0.3772455089820359,1.0,1.0,1.0,0.6227544910179641,1.0,0.0,0.0,0.3772455089820359,0.0953704563000193,376,0.675531914893617,0.324468085106383,0.95,-0.3272455089820358,0.3272455089820358,prompt_only_top1,0.05,1,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9481037924151696,0.0518962075848303,9.632734530938125,11.0,14.0,0.6227544910179641,0.0718562874251497,0.9281437125748504,0.0,0.0,0.0953704563000193,376,0.9840425531914894,0.0,0.95,-0.0018962075848303,0.0018962075848303,coras,0.05,0.9985634864122287,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.940119760479042,0.0598802395209581,10.259481037924152,11.0,13.0,0.6227544910179641,0.0179640718562874,0.9820359281437124,0.0,0.0,0.0953704563000193,376,0.9813829787234044,0.0,0.95,-0.009880239520958,0.009880239520958,coras_aps,0.05,0.9982657223989235,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.9500998003992016,0.0499001996007983,9.844311377245509,11.0,14.0,0.6227544910179641,0.059880239520958,0.940119760479042,0.0,0.0,0.0953704563000193,376,0.9840425531914894,0.0,0.95,9.980039920165495e-05,9.980039920165495e-05,mondrian_domain,0.05,"{'__global__': 0.9985634864122287, np.str_('target_camera_shift'): 0.9985875966197094, np.str_('target_lighting_shift'): 0.9989940102841058, np.str_('target_occluded'): 0.9985634864122287}",,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.05.csv
501,0.5109780439121756,0.4890219560878244,1.0,1.0,1.0,0.5109780439121756,1.0,0.0,0.0,0.4890219560878243,0.2031950275163931,376,0.5664893617021277,0.4335106382978723,0.9,-0.3890219560878244,0.3890219560878244,top1_singleton,0.1,1,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.10.csv
501,0.8682634730538922,0.1317365269461078,8.0,8.0,8.0,0.5109780439121756,0.0,1.0,0.0,0.0,0.2031950275163931,376,0.9388297872340424,0.0,0.9,-0.0317365269461078,0.0317365269461078,topk_calibrated,0.1,8,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.10.csv
501,0.8502994011976048,0.1497005988023951,6.045908183632735,6.0,10.0,0.5109780439121756,0.1477045908183632,0.8522954091816367,0.0,0.0159680638722554,0.2031950275163931,376,0.925531914893617,0.0079787234042553,0.9,-0.0497005988023951,0.0497005988023951,vanilla_conformal,0.1,0.9943480133660235,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.10.csv
501,0.8942115768463074,0.1057884231536926,7.970059880239521,9.0,11.0,0.5109780439121756,0.0698602794411177,0.9301397205588824,0.0,0.0019960079840319,0.2031950275163931,376,0.9547872340425532,0.0,0.9,-0.0057884231536926,0.0057884231536926,aps_conformal,0.1,0.9942417213238242,,mps,0,0.1,190,results/sim_complete/seed0_calib0.10/metrics_summary_alpha0.10.csv
