n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
162,0.7592592592592593,0.2407407407407407,1.0,1.0,1.0,0.7592592592592593,1.0,0.0,0.0,0.2407407407407407,0.0702497456978284,117,0.7948717948717948,0.2051282051282051,prompt_only_top1,0.05,target_lighting_shift,0,0.95,-0.1907407407407406,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,0.6774193548387096,0.3225806451612903,1.0,1.0,1.0,0.6774193548387096,1.0,0.0,0.0,0.3225806451612903,0.1232857505324199,83,0.7108433734939759,0.2891566265060241,prompt_only_top1,0.05,target_occluded,0,0.95,-0.2725806451612903,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.91869918699187,0.08130081300813,10.841463414634148,12.0,14.0,0.5121951219512195,0.016260162601626,0.983739837398374,0.0,0.0,0.1811517323352262,176,0.9829545454545454,0.0,coras,0.05,target_camera_shift,0,0.95,-0.03130081300813,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9629629629629628,0.037037037037037,8.37037037037037,10.0,13.0,0.7592592592592593,0.1234567901234567,0.8765432098765432,0.0,0.0,0.0702497456978284,117,0.9743589743589745,0.0,coras,0.05,target_lighting_shift,0,0.95,0.0129629629629629,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,1.0,0.0,8.634408602150538,10.0,14.0,0.6774193548387096,0.1290322580645161,0.8709677419354839,0.0,0.0,0.1232857505324199,83,1.0,0.0,coras,0.05,target_occluded,0,0.95,0.05,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.9146341463414634,0.0853658536585365,11.235772357723578,12.0,13.0,0.5121951219512195,0.0,1.0,0.0,0.0,0.1811517323352262,176,0.9772727272727272,0.0,coras_aps,0.05,target_camera_shift,0,0.95,-0.0353658536585365,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9444444444444444,0.0555555555555555,9.25925925925926,11.0,13.0,0.7592592592592593,0.037037037037037,0.9629629629629628,0.0,0.0,0.0702497456978284,117,0.9743589743589745,0.0,coras_aps,0.05,target_lighting_shift,0,0.95,-0.0055555555555555,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
93,1.0,0.0,9.419354838709678,11.0,13.0,0.6774193548387096,0.032258064516129,0.967741935483871,0.0,0.0,0.1232857505324199,83,1.0,0.0,coras_aps,0.05,target_occluded,0,0.95,0.05,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
246,0.91869918699187,0.08130081300813,10.853658536585366,12.0,14.0,0.5121951219512195,0.016260162601626,0.983739837398374,0.0,0.0,0.1811517323352262,176,0.9829545454545454,0.0,mondrian_domain,0.05,target_camera_shift,0,0.95,-0.03130081300813,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
162,0.9691358024691358,0.0308641975308642,9.006172839506172,11.5,14.0,0.7592592592592593,0.0864197530864197,0.9135802469135802,0.0,0.0,0.0702497456978284,117,0.9743589743589745,0.0,mondrian_domain,0.05,target_lighting_shift,0,0.95,0.0191358024691358,results/sim_complete/seed0_calib0.10/metrics_by_domain_alpha0.05.csv
