n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap
22,0.13636363636363635,0.8636363636363636,1.0,1.0,1.0,0.13636363636363635,1.0,0.0,0.0,0.8636363636363636,0.058167697617643545,0,,,top1_singleton,0.1,autoeval_online_target_late,0,0.9,-0.7636363636363637
22,1.0,0.0,26.0,26.0,26.0,0.13636363636363635,0.0,1.0,0.0,0.0,0.058167697617643545,0,,,topk_calibrated,0.1,autoeval_online_target_late,0,0.9,0.09999999999999998
22,1.0,0.0,27.727272727272727,28.0,29.0,0.13636363636363635,0.0,1.0,0.0,0.0,0.058167697617643545,0,,,vanilla_conformal,0.1,autoeval_online_target_late,0,0.9,0.09999999999999998
22,1.0,0.0,25.727272727272727,26.0,26.0,0.13636363636363635,0.0,1.0,0.0,0.0,0.058167697617643545,0,,,aps_conformal,0.1,autoeval_online_target_late,0,0.9,0.09999999999999998
22,1.0,0.0,27.681818181818183,28.0,29.0,0.13636363636363635,0.0,1.0,0.0,0.0,0.04352294407613289,0,,,temperature_conformal,0.1,autoeval_online_target_late,0,0.9,0.09999999999999998
22,0.045454545454545456,0.9545454545454546,1.0,1.0,1.0,0.045454545454545456,1.0,0.0,0.0,0.9545454545454546,0.21082215080810854,0,,,prompt_only_top1,0.1,autoeval_online_target_late,0,0.9,-0.8545454545454546
22,0.8636363636363636,0.13636363636363635,13.363636363636363,12.0,17.0,0.045454545454545456,0.0,1.0,0.0,0.0,0.21082215080810854,0,,,coras,0.1,autoeval_online_target_late,0,0.9,-0.036363636363636376
22,0.9090909090909091,0.09090909090909094,13.227272727272727,12.0,16.900000000000002,0.045454545454545456,0.0,1.0,0.0,0.0,0.21082215080810854,0,,,coras_aps,0.1,autoeval_online_target_late,0,0.9,0.009090909090909038
22,0.8636363636363636,0.13636363636363635,13.363636363636363,12.0,17.0,0.045454545454545456,0.0,1.0,0.0,0.0,0.21082215080810854,0,,,mondrian_domain,0.1,autoeval_online_target_late,0,0.9,-0.036363636363636376
