method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file
aps_conformal,0.1,22,1.0,25.727272727272727,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.03640299971977418,0.049736440926790235,0.22232624570923773,0.9733874553983862,0.9825741052627563,0.0,prediction_sets_aps_conformal_alpha0.10.csv
coras,0.1,22,0.8636363636363636,13.363636363636363,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.04950594093481248,0.08768867850303651,0.26490217544646427,0.8487630567767404,0.981184184551239,0.0,prediction_sets_coras_alpha0.10.csv
coras_aps,0.1,22,0.9090909090909091,13.227272727272727,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.04954348745840517,0.08768867850303651,0.26486462892287155,0.8489060591567646,0.981184184551239,0.0,prediction_sets_coras_aps_alpha0.10.csv
mondrian_domain,0.1,22,0.8636363636363636,13.363636363636363,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.04950594093481248,0.08768867850303651,0.26490217544646427,0.8487630567767404,0.981184184551239,0.0,prediction_sets_mondrian_domain_alpha0.10.csv
prompt_only_top1,0.1,22,0.045454545454545456,1.0,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.31440811638127675,0.5692309319972993,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv
temperature_conformal,0.1,22,1.0,27.681818181818183,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.03572812206535177,0.049736440926790235,0.22300112336366015,0.973450633612546,0.9825741052627563,0.0,prediction_sets_temperature_conformal_alpha0.10.csv
top1_singleton,0.1,22,0.13636363636363635,1.0,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.25872924542901193,0.6712489694356922,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv
topk_calibrated,0.1,22,1.0,26.0,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.03639828113161705,0.049736440926790235,0.22233096429739485,0.9733242771842263,0.9825741052627563,0.0,prediction_sets_topk_calibrated_alpha0.10.csv
vanilla_conformal,0.1,22,1.0,27.727272727272727,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.035714053167876875,0.049736440926790235,0.22301519226113503,0.973450633612546,0.9825741052627563,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv
