method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,2524,0.9076862123613312,87.79477020602219,13.48965549468994,20.82173538208008,136.29441833496094,268.60845947265625,15.633576529032643,25.673239707946816,120.66083407846004,499.4707534596584,543.6488647460938,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.10
coras,0.1,2524,0.9072900158478604,57.62519809825674,13.48965549468994,20.82173538208008,107.203125,221.91067504882812,15.631715374778832,25.49932460784912,91.57141185246066,426.8241682385114,512.9967651367188,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.10
coras_aps,0.1,2524,0.9061014263074484,57.955229793977814,13.48965549468994,20.82173538208008,107.203125,221.91067504882812,15.598968912134458,25.16466464996338,91.60415831510502,425.1953803453884,512.9967651367188,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.10
mondrian_domain,0.1,2524,0.8787638668779715,52.90570522979398,13.48965549468994,20.82173538208008,107.203125,221.91067504882812,16.34095856759892,27.6945650100708,90.86216865964056,410.9571006060024,512.9967651367188,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.10
prompt_only_top1,0.1,2524,0.0919175911251981,1.0,13.48965549468994,20.82173538208008,107.203125,221.91067504882812,107.20312722723948,221.91068572998051,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.10
temperature_conformal,0.1,2524,0.909270998415214,87.67036450079239,13.48965549468994,20.82173538208008,136.29441833496094,268.60845947265625,15.616987139883964,25.502817153930664,120.67742346760872,502.1836220609783,543.6488647460938,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.10
top1_singleton,0.1,2524,0.0566561014263074,1.0,13.48965549468994,20.82173538208008,136.29441833496094,268.60845947265625,136.2944106074927,268.6084655761719,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.10
topk_calibrated,0.1,2524,0.900554675118859,90.0,13.48965549468994,20.82173538208008,136.29441833496094,268.60845947265625,15.650471353233334,26.206958961486816,120.64393925425937,515.0748512642886,543.6488647460938,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.10
vanilla_conformal,0.1,2524,0.9001584786053882,85.49762282091918,13.48965549468994,20.82173538208008,136.29441833496094,268.60845947265625,16.013843020669253,26.721525764465337,120.28056758682342,494.7759184074099,543.6488647460938,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.10
aps_conformal,0.1,2629,0.9106124001521492,86.53290224419932,13.069275856018066,20.53924560546875,128.71200561523438,265.5690002441406,15.170759347159402,24.62765312194826,113.54124424167576,492.53618330173776,543.6488647460938,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,2629,0.9087105363255992,53.99049068086725,13.069275856018066,20.53924560546875,96.61688232421876,205.08099365234375,15.121966544724364,24.931198883056645,81.49492107018312,414.2038632926491,512.9967651367188,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,2629,0.9075694180296692,54.32902244199315,13.069275856018066,20.53924560546875,96.61688232421876,205.08099365234375,14.952529432282516,24.26932258605958,81.66435818262498,411.4995822696098,512.9967651367188,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,2629,0.9022441993153292,52.44465576264739,13.069275856018066,20.53924560546875,96.61688232421876,205.08099365234375,15.139273555877772,25.086008834838868,81.47761405902972,407.42796389310246,512.9967651367188,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,2629,0.101939901103081,1.0,13.069275856018066,20.53924560546875,96.61688232421876,205.08099365234375,96.61688761490748,205.0809967041016,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,2629,0.9136553822746292,86.65348041080259,13.069275856018066,20.53924560546875,128.71200561523438,265.5690002441406,15.097835313450842,24.37761917114259,113.61416827538432,495.77275043660217,543.6488647460938,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,2629,0.0581970330924305,1.0,13.069275856018066,20.53924560546875,128.71200561523438,265.5690002441406,128.71200358883516,265.5690063476563,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,2629,0.9102320273868392,91.0,13.069275856018066,20.53924560546875,128.71200561523438,265.5690002441406,14.993729550163298,24.244414901733403,113.71827403867184,512.634267743888,543.6488647460938,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,2629,0.9106124001521492,85.69227843286421,13.069275856018066,20.53924560546875,128.71200561523438,265.5690002441406,15.243536444966807,25.03781814575196,113.46846714386837,489.3860025735988,543.6488647460938,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
aps_conformal,0.1,2430,0.9189300411522634,86.03539094650206,13.19546890258789,20.72027587890625,123.82723999023438,253.3821563720703,15.049199999286314,24.672645759582515,108.77804001444652,487.53650995576334,543.6488647460938,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.40
coras,0.1,2430,0.8967078189300411,52.64074074074074,13.19546890258789,20.72027587890625,95.92335510253906,207.93199157714844,15.615998227017409,26.029382705688477,80.30735899729984,407.8129357922715,512.9967651367188,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.40
coras_aps,0.1,2430,0.8958847736625515,52.72839506172839,13.19546890258789,20.72027587890625,95.92335510253906,207.93199157714844,15.561111211089932,25.931721878051754,80.36224601322732,404.1518451808411,512.9967651367188,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.40
mondrian_domain,0.1,2430,0.894238683127572,51.49465020576132,13.19546890258789,20.72027587890625,95.92335510253906,207.93199157714844,15.436911338837549,25.931573295593257,80.4864458854797,400.7644916047775,512.9967651367188,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.40
prompt_only_top1,0.1,2430,0.0967078189300411,1.0,13.19546890258789,20.72027587890625,95.92335510253906,207.93199157714844,95.92335722431724,207.932014465332,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.40
temperature_conformal,0.1,2430,0.9181069958847736,85.64814814814815,13.19546890258789,20.72027587890625,123.82723999023438,253.3821563720703,14.992696948478253,24.526280593872062,108.83454306525458,490.13896265226134,543.6488647460938,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.40
top1_singleton,0.1,2430,0.0547325102880658,1.0,13.19546890258789,20.72027587890625,123.82723999023438,253.3821563720703,123.82724001373283,253.3822128295898,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.40
topk_calibrated,0.1,2430,0.9238683127572016,92.0,13.19546890258789,20.72027587890625,123.82723999023438,253.3821563720703,14.689343884624082,24.039141654968255,109.13789612910875,511.21010227281863,543.6488647460938,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.40
vanilla_conformal,0.1,2430,0.9176954732510288,85.34814814814816,13.19546890258789,20.72027587890625,123.82723999023438,253.3821563720703,15.039940509751991,24.50681629180908,108.78729950398083,484.3324782571675,543.6488647460938,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.40
aps_conformal,0.1,2473,0.9211484027496968,88.26971289931258,13.675950050354004,21.195724487304688,141.0922393798828,297.31146240234375,15.21773847825509,24.435107421875003,125.87450670272872,498.2618004489996,543.6488647460938,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.10
coras,0.1,2473,0.9126566922765872,53.89931257581885,13.675950050354004,21.195724487304688,100.49085235595705,217.2860565185547,15.641855205570788,25.04809494018555,84.84900028829482,400.94520427551146,502.2301635742187,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.10
coras_aps,0.1,2473,0.917104731095835,55.04286291953093,13.675950050354004,21.195724487304688,100.49085235595705,217.2860565185547,15.38544268727158,24.62478027343751,85.10541280659403,401.48316138638114,502.2301635742187,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.10
mondrian_domain,0.1,2473,0.9304488475535786,58.652244237767896,13.675950050354004,21.195724487304688,100.49085235595705,217.2860565185547,15.251720086384822,24.120005035400396,85.23913540748079,410.04441184395967,512.9967651367188,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed1_calib0.10
