method,domain,n_runs,coverage_mean,coverage_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std
aps_conformal,pusht_shift_blur_noise,9,0.8962029378509708,0.02556376765938861,87.85158246058964,3.810797300361062,0.03355529330824666,0.008504217058520077,0.0,0.0
aps_conformal,pusht_shift_camera_crop,9,0.9661367304218706,0.009799508694840486,80.4679199740408,5.917685047705997,0.07866474039990587,0.010914931801064044,0.0,0.0
aps_conformal,pusht_shift_lighting,9,0.8709161729056838,0.015702418850207307,86.01452523129007,2.7657879464270514,0.0489760079892882,0.010998663622432524,0.0,0.0
aps_conformal,pusht_shift_occlusion,9,0.9115770230103466,0.01817927749336852,81.72401609818664,4.101513097806106,0.052261302448770634,0.00954212355839106,0.0,0.0
coras,pusht_shift_blur_noise,9,0.9044062338344021,0.01596608598023979,54.838371537181935,2.481467903119373,0.10701494551553642,0.02023943528989147,0.0,0.0
coras,pusht_shift_camera_crop,9,0.9393369902856273,0.012981298137465045,44.77574179118119,1.5839149044274883,0.12768745807556814,0.015537045911009635,0.0,0.0
coras,pusht_shift_lighting,9,0.9025134346700325,0.02625455389058678,59.58904310426038,2.7351909512121653,0.09414509016481899,0.017859320819769448,0.0,0.0
coras,pusht_shift_occlusion,9,0.8897119417993627,0.03824877841766351,59.743547901875935,1.6393184368575224,0.0795707846063681,0.017782673744821634,0.0,0.0
coras_aps,pusht_shift_blur_noise,9,0.9081269165165787,0.01370797171708318,55.73609980696222,2.7321461955514628,0.10701494551553642,0.02023943528989147,0.0003130057627519667,0.0006715739663631461
coras_aps,pusht_shift_camera_crop,9,0.931783578811522,0.011027540036308653,43.70051100014438,1.8758616757218451,0.12768745807556814,0.015537045911009635,0.0,0.0
coras_aps,pusht_shift_lighting,9,0.9036780216062089,0.020785809869355208,60.29171441386976,2.991958973266382,0.09414509016481899,0.017859320819769448,0.0,0.0
coras_aps,pusht_shift_occlusion,9,0.8933525803989125,0.03510274567668758,60.903396084558416,2.0207088397839876,0.0795707846063681,0.017782673744821634,0.0,0.0
mondrian_domain,pusht_shift_blur_noise,9,0.8939053550732113,0.025575940636149153,52.38057109796261,4.576068974219051,0.10701494551553642,0.02023943528989147,0.0,0.0
mondrian_domain,pusht_shift_camera_crop,9,0.9227703879048134,0.009219375958463883,40.41649092578116,3.308377215846096,0.12768745807556814,0.015537045911009635,0.0,0.0
mondrian_domain,pusht_shift_lighting,9,0.8984670856727566,0.02005031283172356,59.48889368055409,7.231614109671824,0.09414509016481899,0.017859320819769448,0.0,0.0
mondrian_domain,pusht_shift_occlusion,9,0.9205543850351687,0.03371566666467039,67.7272212123167,5.56751533575287,0.0795707846063681,0.017782673744821634,0.0,0.0
prompt_only_top1,pusht_shift_blur_noise,9,0.10701494551553642,0.02023943528989147,1.0,0.0,0.10701494551553642,0.02023943528989147,0.8929850544844636,0.020239435289891448
prompt_only_top1,pusht_shift_camera_crop,9,0.12768745807556814,0.015537045911009635,1.0,0.0,0.12768745807556814,0.015537045911009635,0.8723125419244318,0.0155370459110096
prompt_only_top1,pusht_shift_lighting,9,0.09414509016481899,0.017859320819769448,1.0,0.0,0.09414509016481899,0.017859320819769448,0.9058549098351809,0.01785932081976942
prompt_only_top1,pusht_shift_occlusion,9,0.0795707846063681,0.017782673744821634,1.0,0.0,0.0795707846063681,0.017782673744821634,0.9204292153936318,0.01778267374482163
temperature_conformal,pusht_shift_blur_noise,9,0.8946737914217633,0.022769953886825674,87.8414321873653,3.2535070244104087,0.03355529330824666,0.008504217058520077,0.0,0.0
temperature_conformal,pusht_shift_camera_crop,9,0.9684371484413314,0.007354335134487446,81.83540331938724,4.376456295880361,0.07866474039990587,0.010914931801064044,0.0,0.0
temperature_conformal,pusht_shift_lighting,9,0.8725397682789465,0.015429073198926838,86.58178264832155,2.74225219009503,0.0489760079892882,0.010998663622432524,0.0,0.0
temperature_conformal,pusht_shift_occlusion,9,0.9180637268109351,0.020465870756119556,82.81515282709618,3.4125825042569753,0.052261302448770634,0.00954212355839106,0.0,0.0
top1_singleton,pusht_shift_blur_noise,9,0.03355529330824666,0.008504217058520077,1.0,0.0,0.03355529330824666,0.008504217058520077,0.9664447066917534,0.008504217058520046
top1_singleton,pusht_shift_camera_crop,9,0.07866474039990587,0.010914931801064044,1.0,0.0,0.07866474039990587,0.010914931801064044,0.9213352596000942,0.010914931801064072
top1_singleton,pusht_shift_lighting,9,0.0489760079892882,0.010998663622432524,1.0,0.0,0.0489760079892882,0.010998663622432524,0.9510239920107116,0.010998663622432524
top1_singleton,pusht_shift_occlusion,9,0.052261302448770634,0.00954212355839106,1.0,0.0,0.052261302448770634,0.00954212355839106,0.9477386975512293,0.009542123558391008
topk_calibrated,pusht_shift_blur_noise,9,0.8868529383566118,0.023716652735056024,90.55555555555556,2.3511226632776476,0.03355529330824666,0.008504217058520077,0.0,0.0
topk_calibrated,pusht_shift_camera_crop,9,0.9667669152170064,0.007178540553655984,90.55555555555556,2.3511226632776476,0.07866474039990587,0.010914931801064044,0.0,0.0
topk_calibrated,pusht_shift_lighting,9,0.8784289974291671,0.016772352338301728,90.55555555555556,2.3511226632776476,0.0489760079892882,0.010998663622432524,0.0,0.0
topk_calibrated,pusht_shift_occlusion,9,0.9255910381841785,0.013315014266971271,90.55555555555556,2.3511226632776476,0.052261302448770634,0.00954212355839106,0.0,0.0
vanilla_conformal,pusht_shift_blur_noise,9,0.9005517703416024,0.026525353862843517,87.77756677948658,4.04385510379581,0.03355529330824666,0.008504217058520077,0.0,0.0
vanilla_conformal,pusht_shift_camera_crop,9,0.9643147258170102,0.012747898512536193,79.76029741294144,5.5566523908780425,0.07866474039990587,0.010914931801064044,0.0,0.0
vanilla_conformal,pusht_shift_lighting,9,0.8721636301595334,0.018000234802410486,86.25098718247878,3.5801579899139453,0.0489760079892882,0.010998663622432524,0.0,0.0
vanilla_conformal,pusht_shift_occlusion,9,0.9131955615631944,0.020813131490145208,81.65859821342997,4.178843034761891,0.052261302448770634,0.00954212355839106,0.0,0.0
