method,n_runs_x,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,median_set_size_mean,median_set_size_std,p90_set_size_mean,p90_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,ece_top1_mean,ece_top1_std,n_runs_y,top1_action_l2_mean_mean,top1_action_l2_mean_std,set_oracle_action_l2_mean_mean,set_oracle_action_l2_mean_std,action_l2_improvement_vs_top1_mean,action_l2_improvement_vs_top1_std,mean_set_action_diameter_mean,mean_set_action_diameter_std,n_runs,episode_mean_coverage_mean,episode_mean_coverage_std,episode_all_steps_covered_rate_mean,episode_all_steps_covered_rate_std,episode_block_boot_lo95_mean,episode_block_boot_lo95_std,episode_block_boot_hi95_mean,episode_block_boot_hi95_std
coras_aps,1,0.9090909090909092,0.0,0.009090909090909,0.0,13.227272727272728,0.0,12.0,0.0,16.900000000000002,0.0,0.0454545454545454,0.0,0.0,0.0,0.2108221508081085,0.0,1,0.3144081234931946,0.0,0.0495434874584051,0.0,0.2648646289228715,0.0,0.8489060591567646,0.0,1,0.9230769230769232,0.0,0.5,0.0,0.8461538461538461,0.0,1.0,0.0
coras,1,0.8636363636363636,0.0,0.0363636363636363,0.0,13.363636363636363,0.0,12.0,0.0,17.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.2108221508081085,0.0,1,0.3144081234931946,0.0,0.0495059409348124,0.0,0.2649021754464642,0.0,0.8487630567767404,0.0,1,0.8675213675213675,0.0,0.0,0.0,0.8461538461538461,0.0,0.8888888888888888,0.0
mondrian_domain,1,0.8636363636363636,0.0,0.0363636363636363,0.0,13.363636363636363,0.0,12.0,0.0,17.0,0.0,0.0454545454545454,0.0,0.0,0.0,0.2108221508081085,0.0,1,0.3144081234931946,0.0,0.0495059409348124,0.0,0.2649021754464642,0.0,0.8487630567767404,0.0,1,0.8675213675213675,0.0,0.0,0.0,0.8461538461538461,0.0,0.8888888888888888,0.0
aps_conformal,1,1.0,0.0,0.0999999999999999,0.0,25.727272727272727,0.0,26.0,0.0,26.0,0.0,0.1363636363636363,0.0,0.0,0.0,0.0581676976176435,0.0,1,0.2587292492389679,0.0,0.0364029997197741,0.0,0.2223262457092377,0.0,0.9733874553983862,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
topk_calibrated,1,1.0,0.0,0.0999999999999999,0.0,26.0,0.0,26.0,0.0,26.0,0.0,0.1363636363636363,0.0,0.0,0.0,0.0581676976176435,0.0,1,0.2587292492389679,0.0,0.036398281131617,0.0,0.2223309642973948,0.0,0.9733242771842264,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
temperature_conformal,1,1.0,0.0,0.0999999999999999,0.0,27.681818181818183,0.0,28.0,0.0,29.0,0.0,0.1363636363636363,0.0,0.0,0.0,0.0435229440761328,0.0,1,0.2587292492389679,0.0,0.0357281220653517,0.0,0.2230011233636601,0.0,0.973450633612546,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
vanilla_conformal,1,1.0,0.0,0.0999999999999999,0.0,27.727272727272727,0.0,28.0,0.0,29.0,0.0,0.1363636363636363,0.0,0.0,0.0,0.0581676976176435,0.0,1,0.2587292492389679,0.0,0.0357140531678768,0.0,0.223015192261135,0.0,0.973450633612546,0.0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
top1_singleton,1,0.1363636363636363,0.0,0.7636363636363637,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1363636363636363,0.0,0.8636363636363636,0.0,0.0581676976176435,0.0,1,0.2587292492389679,0.0,0.2587292454290119,0.0,0.0,0.0,0.0,0.0,1,0.1153846153846153,0.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.0
prompt_only_top1,1,0.0454545454545454,0.0,0.8545454545454546,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0454545454545454,0.0,0.9545454545454546,0.0,0.2108221508081085,0.0,1,0.3144081234931946,0.0,0.3144081163812767,0.0,0.0,0.0,0.0,0.0,1,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.0
