method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,22,1.0,25.727272727272727,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.0364029997197741,0.0497364409267902,0.2223262457092377,0.9733874553983862,0.9825741052627563,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,22,0.8636363636363636,13.363636363636363,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.0495059409348124,0.0876886785030365,0.2649021754464642,0.8487630567767404,0.981184184551239,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,22,0.9090909090909092,13.227272727272728,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.0495434874584051,0.0876886785030365,0.2648646289228715,0.8489060591567646,0.981184184551239,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,22,0.8636363636363636,13.363636363636363,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.0495059409348124,0.0876886785030365,0.2649021754464642,0.8487630567767404,0.981184184551239,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,22,0.0454545454545454,1.0,0.1387459635734558,0.2695240080356598,0.3144081234931946,0.5692309141159058,0.3144081163812767,0.5692309319972993,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,22,1.0,27.681818181818183,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.0357281220653517,0.0497364409267902,0.2230011233636601,0.973450633612546,0.9825741052627563,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,22,0.1363636363636363,1.0,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.2587292454290119,0.6712489694356922,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,22,1.0,26.0,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.036398281131617,0.0497364409267902,0.2223309642973948,0.9733242771842264,0.9825741052627563,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,22,1.0,27.727272727272727,0.1387459635734558,0.2695240080356598,0.2587292492389679,0.6712489128112793,0.0357140531678768,0.0497364409267902,0.223015192261135,0.973450633612546,0.9825741052627563,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
