method,domain,n_runs,coverage_mean,coverage_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std
aps_conformal,droid_shift_blur_noise,9,0.9098566534678523,0.10103229450264854,48.27735469925885,4.992113321217082,0.1331096007801916,0.10396207795792925,0.0,0.0
aps_conformal,droid_shift_camera_crop,9,0.8894001132836044,0.03695989261755299,49.862280654170036,4.285077798129814,0.08280433190003783,0.028976995947738827,0.0,0.0
aps_conformal,droid_shift_lighting,9,0.912758186988092,0.03985354897529544,49.12965121009856,2.226958022755605,0.0439642014798814,0.02394046543593561,0.0,0.0
aps_conformal,droid_shift_occlusion,8,0.9003105603971883,0.05453759967200136,48.1145086065963,2.831489545352671,0.06935502818356087,0.053922601559042604,0.0,0.0
coras,droid_shift_blur_noise,9,0.9131056642036669,0.07823918081320576,51.36211087193348,5.273533361439965,0.0911409031893193,0.06790939333482982,0.0,0.0
coras,droid_shift_camera_crop,9,0.8973348691012661,0.03180420572880907,51.452599865441414,2.0724747124378875,0.05017712169151307,0.015647353639654596,0.0,0.0
coras,droid_shift_lighting,9,0.9326250652911265,0.04843353906396858,52.39090925609326,2.7262594028734255,0.03827853576537351,0.017682830686161173,0.0,0.0
coras,droid_shift_occlusion,8,0.936606205084978,0.04716219261350661,49.69892070871283,4.999493270124197,0.073437002651325,0.06529681845597073,0.0,0.0
coras_aps,droid_shift_blur_noise,9,0.909980857522339,0.0755674663230278,51.08686751168915,4.593517222981964,0.0911409031893193,0.06790939333482982,0.0,0.0
coras_aps,droid_shift_camera_crop,9,0.8947019643037049,0.03124373658790653,51.218763115656074,2.014929487804423,0.05017712169151307,0.015647353639654596,0.0,0.0
coras_aps,droid_shift_lighting,9,0.9315725763050394,0.04755844761249645,52.18044914527473,2.627567082133276,0.03827853576537351,0.017682830686161173,0.0,0.0
coras_aps,droid_shift_occlusion,8,0.9378361125032397,0.04519885494971637,49.62714164370952,4.324865345504049,0.073437002651325,0.06529681845597073,0.0,0.0
mondrian_domain,droid_shift_blur_noise,9,0.9116582030188707,0.11110896818799508,52.483357964324476,7.559267949116536,0.0911409031893193,0.06790939333482982,0.0,0.0
mondrian_domain,droid_shift_camera_crop,9,0.9074120337829036,0.05025090506740129,52.76005598444593,3.476068670772981,0.05017712169151307,0.015647353639654596,0.0,0.0
mondrian_domain,droid_shift_lighting,9,0.9457316021242834,0.04476196432403889,54.347126209439836,3.673874507519357,0.03827853576537351,0.017682830686161173,0.0,0.0
mondrian_domain,droid_shift_occlusion,8,0.8904922284752446,0.07805552668692604,44.88821280371097,6.2077904339438845,0.073437002651325,0.06529681845597073,0.0,0.0
prompt_only_top1,droid_shift_blur_noise,9,0.0911409031893193,0.06790939333482982,1.0,0.0,0.0911409031893193,0.06790939333482982,0.9088590968106806,0.0679093933348298
prompt_only_top1,droid_shift_camera_crop,9,0.05017712169151307,0.015647353639654596,1.0,0.0,0.05017712169151307,0.015647353639654596,0.949822878308487,0.015647353639654596
prompt_only_top1,droid_shift_lighting,9,0.03827853576537351,0.017682830686161173,1.0,0.0,0.03827853576537351,0.017682830686161173,0.9617214642346263,0.01768283068616115
prompt_only_top1,droid_shift_occlusion,8,0.073437002651325,0.06529681845597073,1.0,0.0,0.073437002651325,0.06529681845597073,0.9265629973486751,0.06529681845597074
temperature_conformal,droid_shift_blur_noise,9,0.9205374836434752,0.0840473404956309,48.4460258952991,3.9087103899297806,0.1331096007801916,0.10396207795792925,0.0,0.0
temperature_conformal,droid_shift_camera_crop,9,0.888917552470454,0.029157173651851304,50.28015766469507,3.080136471413797,0.08280433190003783,0.028976995947738827,0.0,0.0
temperature_conformal,droid_shift_lighting,9,0.911157015899083,0.03525377563820314,48.29280015152719,2.085037913463601,0.0439642014798814,0.02394046543593561,0.0,0.0
temperature_conformal,droid_shift_occlusion,8,0.8994588946902321,0.0527550901229272,47.506869201863324,2.413005410349729,0.06935502818356087,0.053922601559042604,0.0,0.0
top1_singleton,droid_shift_blur_noise,9,0.1331096007801916,0.10396207795792925,1.0,0.0,0.1331096007801916,0.10396207795792925,0.8668903992198084,0.10396207795792922
top1_singleton,droid_shift_camera_crop,9,0.08280433190003783,0.028976995947738827,1.0,0.0,0.08280433190003783,0.028976995947738827,0.917195668099962,0.02897699594773889
top1_singleton,droid_shift_lighting,9,0.0439642014798814,0.02394046543593561,1.0,0.0,0.0439642014798814,0.02394046543593561,0.9560357985201186,0.02394046543593557
top1_singleton,droid_shift_occlusion,8,0.06935502818356087,0.053922601559042604,1.0,0.0,0.06935502818356087,0.053922601559042604,0.9306449718164391,0.05392260155904259
topk_calibrated,droid_shift_blur_noise,9,0.9306145689726146,0.06099242280302603,48.666666666666664,2.345207879911715,0.1331096007801916,0.10396207795792925,0.0,0.0
topk_calibrated,droid_shift_camera_crop,9,0.8707754082569896,0.03019978644374967,48.666666666666664,2.345207879911715,0.08280433190003783,0.028976995947738827,0.0,0.0
topk_calibrated,droid_shift_lighting,9,0.9142726344861709,0.03138565010603959,48.666666666666664,2.345207879911715,0.0439642014798814,0.02394046543593561,0.0,0.0
topk_calibrated,droid_shift_occlusion,8,0.9071785971843085,0.05123684253549737,49.0,2.2677868380553634,0.06935502818356087,0.053922601559042604,0.0,0.0
vanilla_conformal,droid_shift_blur_noise,9,0.9099775530923156,0.10698033298036623,49.01625039422191,5.753817385036897,0.1331096007801916,0.10396207795792925,0.0,0.0
vanilla_conformal,droid_shift_camera_crop,9,0.8902517036576347,0.04852820542500375,50.15228941493295,5.583848214250981,0.08280433190003783,0.028976995947738827,0.0,0.0
vanilla_conformal,droid_shift_lighting,9,0.9127304747864591,0.03759446298104332,49.267515776605606,2.2647844494146137,0.0439642014798814,0.02394046543593561,0.0,0.0
vanilla_conformal,droid_shift_occlusion,8,0.901407860337871,0.052808181598279484,48.35897743373811,3.0030041720056744,0.06935502818356087,0.053922601559042604,0.0,0.0
