method,n_runs_x,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,median_set_size_mean,median_set_size_std,p90_set_size_mean,p90_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,ece_top1_mean,ece_top1_std,n_runs_y,top1_action_l2_mean_mean,top1_action_l2_mean_std,set_oracle_action_l2_mean_mean,set_oracle_action_l2_mean_std,action_l2_improvement_vs_top1_mean,action_l2_improvement_vs_top1_std,mean_set_action_diameter_mean,mean_set_action_diameter_std,n_runs,episode_mean_coverage_mean,episode_mean_coverage_std,episode_all_steps_covered_rate_mean,episode_all_steps_covered_rate_std,episode_block_boot_lo95_mean,episode_block_boot_lo95_std,episode_block_boot_hi95_mean,episode_block_boot_hi95_std
topk_calibrated,9,0.900970896320906,0.029494503865813,0.02570259155958652,0.011304207775242566,48.666666666666664,2.345207879911715,48.666666666666664,2.345207879911715,48.666666666666664,2.345207879911715,0.07162459301397435,0.020125722014735316,0.0,0.0,0.24038644354131058,0.03302488186650605,9,0.8048533333672417,0.04294277757134377,0.33862907120218927,0.02488429478685009,0.46622425823536706,0.029226572704577687,2.023111058414406,0.03477445950609611,9,0.8998582465804085,0.03666262350119258,0.012345679012345678,0.037037037037037035,0.8621854518910748,0.035165695045123166,0.9383798175754146,0.023491992579996877
temperature_conformal,9,0.9010537864467497,0.03563495813813134,0.0298410437288861,0.01641038203190872,48.70004792457757,2.7843802289884194,49.0,2.6457513110645907,54.111111111111114,2.4720661623652207,0.07162459301397435,0.020125722014735316,0.0,0.0,0.02214674810868641,0.015102378867449244,9,0.8048533333672417,0.04294277757134377,0.33947068132327207,0.026033544949516207,0.4653826481142841,0.029481795569240448,2.0121847655887546,0.03762174303730508,9,0.8968144659207498,0.04318570609925773,0.012345679012345678,0.037037037037037035,0.8569702450375178,0.05841936005014673,0.9408375645157966,0.021670854609289032
coras_aps,9,0.9118894990145218,0.034006794356620886,0.03130708935744158,0.01458909517559814,50.50827539225983,3.060878470554433,50.77777777777778,3.3082388735465345,54.888888888888886,2.7131367660166177,0.05969556093391754,0.024227918593548847,0.0,0.0,0.2195206072910847,0.024187949077008265,9,0.814494768778483,0.046871780548193874,0.3383618277681855,0.025122928847445023,0.4761329350241686,0.032033133272232416,2.037151832436241,0.045612227089001124,9,0.9134745783926442,0.04264182767536353,0.04938271604938271,0.08072035080630877,0.8678328495926209,0.04787871978455195,0.9528790817339085,0.0263101849408843
coras,9,0.9131709926810773,0.03606223625319367,0.033164542891585394,0.016070828990845016,50.608088544477404,3.3596546934409566,50.888888888888886,3.5512126254437524,55.666666666666664,3.5355339059327378,0.05969556093391754,0.024227918593548847,0.0,0.0,0.2195206072910847,0.024187949077008265,9,0.814494768778483,0.046871780548193874,0.338364660577152,0.02524661397832371,0.47613010221520224,0.03219831449118983,2.03551919629255,0.046433164037901827,9,0.9152122703637876,0.045098100121415054,0.037037037037037035,0.0785674201318386,0.8699318556884106,0.04960100870527291,0.9538982645636865,0.02845903577469195
mondrian_domain,9,0.9061550302288338,0.04163661130606027,0.03418351724678499,0.021486051057095824,50.483300816587445,3.986865398843688,51.666666666666664,4.183300132670378,58.22222222222222,2.488864087178013,0.05969556093391754,0.024227918593548847,0.0,0.0,0.2195206072910847,0.024187949077008265,9,0.814494768778483,0.046871780548193874,0.33914819025813253,0.025391628623679333,0.4753465725342216,0.032768423985059525,2.0258475182034967,0.05894706088767146,9,0.9109559475962877,0.044648931379704014,0.08641975308641975,0.12143404674633333,0.8499695114543242,0.06839507882027931,0.9567132281090619,0.02648212153489649
aps_conformal,9,0.8993099274478603,0.041947195038897676,0.03435029025959422,0.020800664670660593,48.98902785425801,3.1730305508191896,50.22222222222222,2.9059326290271157,55.22222222222222,2.223610677354389,0.07162459301397435,0.020125722014735316,0.0,0.0,0.24038644354131058,0.03302488186650605,9,0.8048533333672417,0.04294277757134377,0.34019658317426155,0.027097023248080755,0.46465674626329473,0.029823235987262775,2.010433002385062,0.04178143497819853,9,0.8937548657167957,0.04921349964594658,0.0,0.0,0.8509102306050814,0.07277174109980336,0.9407419967170207,0.02278454572261001
vanilla_conformal,9,0.901512112998887,0.04329406659533456,0.03513364917025252,0.02209702540563227,49.532805917922474,3.400206111418604,50.77777777777778,3.3082388735465345,58.44444444444444,2.242270674512285,0.07162459301397435,0.020125722014735316,0.0,0.0,0.24038644354131058,0.03302488186650605,9,0.8048533333672417,0.04294277757134377,0.340413569064083,0.027398163015333873,0.46443976037347334,0.02975508470756662,2.009859394805688,0.04159948479792941,9,0.8925789914187892,0.05023011319691944,0.0,0.0,0.8502449828550095,0.0777700093621969,0.9425386177186468,0.021577844020779786
top1_singleton,9,0.07162459301397435,0.020125722014735316,0.8283754069860256,0.02012572201473532,1.0,0.0,1.0,0.0,1.0,0.0,0.07162459301397435,0.020125722014735316,0.9283754069860256,0.020125722014735326,0.24038644354131058,0.03302488186650605,9,0.8048533333672417,0.04294277757134377,0.8048533294375564,0.042942790382605546,0.0,0.0,0.0,0.0,9,0.08345137074816417,0.027289370579710898,0.0,0.0,0.03977636826609592,0.00810162501242164,0.1216139555008266,0.04202163639179115
prompt_only_top1,9,0.05969556093391754,0.024227918593548847,0.8403044390660824,0.02422791859354884,1.0,0.0,1.0,0.0,1.0,0.0,0.05969556093391754,0.024227918593548847,0.9403044390660824,0.024227918593548833,0.2195206072910847,0.024187949077008265,9,0.814494768778483,0.046871780548193874,0.8144947627923541,0.046871799724633165,0.0,0.0,0.0,0.0,9,0.0614989995810025,0.026998926677795795,0.0,0.0,0.03781154277893102,0.01336231585252403,0.08543722599572322,0.04024261138518781
