method,domain,n_runs,coverage_mean,coverage_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std
aps_conformal,pusht_shift_blur_noise,9,0.9086806494671937,0.031025388855664086,45.90593191509585,1.3799784449124572,0.06858822465634061,0.011748184870441582,0.0,0.0
aps_conformal,pusht_shift_camera_crop,9,0.9679671124001068,0.01087559446326333,40.8046447911744,1.7240136683784064,0.12584006827713956,0.012450114354292973,0.0,0.0
aps_conformal,pusht_shift_lighting,9,0.8604932981497585,0.0318060840459557,41.34123043652658,2.483959901749301,0.0826206245296473,0.011650711645365443,0.0,0.0
aps_conformal,pusht_shift_occlusion,9,0.914226574799801,0.028449304144482993,40.52687838493093,2.3887926473120977,0.0829883255525829,0.017811072208647534,0.0,0.0
coras,pusht_shift_blur_noise,9,0.9099465919040023,0.02019412944992063,28.506314281570983,1.0457754174671434,0.15014686193470875,0.018357086617139393,0.0,0.0
coras,pusht_shift_camera_crop,9,0.9381256313512516,0.012369646972556892,22.299498753657936,0.9573257771897556,0.18575535703841034,0.023071439339656264,0.0,0.0
coras,pusht_shift_lighting,9,0.9051743899589193,0.022347524315603648,29.31230397320708,1.6425897425154374,0.1636801721103263,0.025971816746463573,0.0,0.0
coras,pusht_shift_occlusion,9,0.8740816363038569,0.045725694350858555,28.915712584075695,1.0874434467409568,0.11260958495498875,0.024373116054842554,0.0,0.0
coras_aps,pusht_shift_blur_noise,9,0.9132707534637725,0.019931266806246097,28.96995698612504,0.8680658051088936,0.15014686193470875,0.018357086617139393,0.0,0.0
coras_aps,pusht_shift_camera_crop,9,0.9326926784129687,0.011202682241135218,21.849337339380188,1.254949792446335,0.18575535703841034,0.023071439339656264,0.0003558681530783667,0.0007414345773079507
coras_aps,pusht_shift_lighting,9,0.9084647616302559,0.01754624369954359,29.657113401336282,2.067764405224813,0.1636801721103263,0.025971816746463573,0.00034012918173673335,0.0006770038299375898
coras_aps,pusht_shift_occlusion,9,0.8739587066195704,0.04213321595908964,29.200087644049297,1.0963339506715637,0.11260958495498875,0.024373116054842554,0.0,0.0
mondrian_domain,pusht_shift_blur_noise,9,0.8698237234639696,0.04650624643395651,24.191926098333575,3.6092709877398206,0.15014686193470875,0.018357086617139393,0.0,0.0
mondrian_domain,pusht_shift_camera_crop,9,0.9094264593150042,0.018021978736947015,18.831886809748486,1.9172223048634565,0.18575535703841034,0.023071439339656264,0.0,0.0
mondrian_domain,pusht_shift_lighting,9,0.9160460907789569,0.02214716551741648,31.009039917611137,4.63882497163654,0.1636801721103263,0.025971816746463573,0.0,0.0
mondrian_domain,pusht_shift_occlusion,9,0.9141637334346997,0.03723672888829808,33.671573715853036,3.2723988449345978,0.11260958495498875,0.024373116054842554,0.0,0.0
prompt_only_top1,pusht_shift_blur_noise,9,0.15014686193470875,0.018357086617139393,1.0,0.0,0.15014686193470875,0.018357086617139393,0.8498531380652913,0.018357086617139386
prompt_only_top1,pusht_shift_camera_crop,9,0.18575535703841034,0.023071439339656264,1.0,0.0,0.18575535703841034,0.023071439339656264,0.8142446429615897,0.023071439339656257
prompt_only_top1,pusht_shift_lighting,9,0.1636801721103263,0.025971816746463573,1.0,0.0,0.1636801721103263,0.025971816746463573,0.8363198278896736,0.025971816746463566
