method,alpha,n,token_coverage,mean_set_size,mean_codebook_quant_l2,p90_codebook_quant_l2,top1_action_l2_mean,top1_action_l2_p90,set_oracle_action_l2_mean,set_oracle_action_l2_p90,action_l2_improvement_vs_top1,mean_set_action_diameter,p90_set_action_diameter,empty_set_rate,file,run_dir
aps_conformal,0.1,2524,0.9080824088748018,42.55388272583201,18.712926864624023,29.113683700561523,128.59498596191406,254.77700805664065,21.493909150267555,34.91606216430665,107.10107189912804,454.67068729309955,516.1602783203125,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.10
coras,0.1,2524,0.8997622820919176,27.42670364500792,18.712926864624023,29.113683700561523,107.2899398803711,220.7538299560547,21.91989709717914,35.74217643737793,85.37004777019261,370.10902956435115,473.3093566894531,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.10
coras_aps,0.1,2524,0.9084786053882726,28.321315372424724,18.712926864624023,29.113683700561523,107.2899398803711,220.7538299560547,21.403014429633856,34.5365787506104,85.8869304377379,372.8872957486547,473.3093566894531,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.10
mondrian_domain,0.1,2524,0.8545958795562599,24.06259904912837,18.712926864624023,29.113683700561523,107.2899398803711,220.7538299560547,23.69597389821772,40.6158153533936,83.59397096915404,348.34653760060644,473.3093566894531,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.10
prompt_only_top1,0.1,2524,0.1394611727416798,1.0,18.712926864624023,29.113683700561523,107.2899398803711,220.7538299560547,107.28994486737176,220.75383453369147,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.10
temperature_conformal,0.1,2524,0.909270998415214,42.567749603803485,18.712926864624023,29.113683700561523,128.59498596191406,254.77700805664065,21.41802019971864,34.929504013061525,107.17696084967696,457.3118830709563,516.1602783203125,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.10
top1_singleton,0.1,2524,0.0832012678288431,1.0,18.712926864624023,29.113683700561523,128.59498596191406,254.77700805664065,128.5949810493956,254.7770034790039,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.10
topk_calibrated,0.1,2524,0.901743264659271,43.0,18.712926864624023,29.113683700561523,128.59498596191406,254.77700805664065,21.28491825946915,35.023820495605506,107.31006278992643,469.110518768359,516.1602783203125,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.10
vanilla_conformal,0.1,2524,0.9076862123613312,42.43621236133122,18.712926864624023,29.113683700561523,128.59498596191406,254.77700805664065,21.74934241553494,34.93430137634277,106.84563863386064,452.9940629164126,516.1602783203125,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.10
aps_conformal,0.1,2629,0.9163179916317992,41.28604031951312,18.0712833404541,28.35409927368164,124.25968933105467,248.35589599609375,20.56015038771428,32.57135620117188,103.69954125841066,443.79210868594583,516.1602783203125,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.25
coras,0.1,2629,0.9071890452643592,26.07151007987828,18.0712833404541,28.35409927368164,97.32158660888672,201.6833038330078,20.75732893338898,32.589242553710946,76.56425705635988,360.1275241513722,473.3093566894531,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.25
coras_aps,0.1,2629,0.9060479269684292,26.247242297451503,18.0712833404541,28.35409927368164,97.32158660888672,201.6833038330078,20.66349803993302,32.66574783325196,76.65808794981584,358.45652601808683,473.3093566894531,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.25
mondrian_domain,0.1,2629,0.896538607835679,24.782807151007987,18.0712833404541,28.35409927368164,97.32158660888672,201.6833038330078,20.974719461400777,33.224393463134795,76.34686652834809,350.0082973365595,473.3093566894531,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.25
prompt_only_top1,0.1,2629,0.1510079878280715,1.0,18.0712833404541,28.35409927368164,97.32158660888672,201.6833038330078,97.32158598974884,201.68330078125,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.25
temperature_conformal,0.1,2629,0.9166983643971092,41.20768352985926,18.0712833404541,28.35409927368164,124.25968933105467,248.35589599609375,20.4957371303998,32.48032684326174,103.76395451572512,446.6090300898445,516.1602783203125,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.25
top1_singleton,0.1,2629,0.0966146823887409,1.0,18.0712833404541,28.35409927368164,124.25968933105467,248.35589599609375,124.25969164612494,248.3559387207034,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.25
topk_calibrated,0.1,2629,0.9205020920502092,44.0,18.0712833404541,28.35409927368164,124.25968933105467,248.35589599609375,20.028527757499372,32.10219039916992,104.23116388862556,466.7176523306561,516.1602783203125,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.25
vanilla_conformal,0.1,2629,0.9174591099277292,41.30011411182959,18.0712833404541,28.35409927368164,124.25968933105467,248.35589599609375,20.675478165845263,32.66574783325196,103.58421348027969,441.8140296863485,516.1602783203125,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.25
aps_conformal,0.1,2430,0.9106995884773662,40.0917695473251,18.793968200683594,29.76324462890625,119.14486694335938,236.42030334472656,21.593568766460496,34.71440811157226,97.55130272508896,436.1581720673989,516.1602783203125,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed0_calib0.40
coras,0.1,2430,0.8925925925925926,25.51687242798354,18.793968200683594,29.76324462890625,96.83133697509766,205.3211212158203,22.060567331559373,35.5751407623291,74.77076571467236,357.56032612804523,473.3093566894531,0.0,prediction_sets_coras_alpha0.10.csv,seed0_calib0.40
coras_aps,0.1,2430,0.8905349794238683,25.61316872427983,18.793968200683594,29.76324462890625,96.83133697509766,205.3211212158203,21.935980807066944,35.33771057128906,74.8953522391648,354.61766895404077,473.3093566894531,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed0_calib0.40
mondrian_domain,0.1,2430,0.8823045267489712,24.44156378600823,18.793968200683594,29.76324462890625,96.83133697509766,205.3211212158203,22.005451159271193,35.70756530761719,74.82588188696054,345.6523704685792,473.3093566894531,0.0,prediction_sets_mondrian_domain_alpha0.10.csv,seed0_calib0.40
prompt_only_top1,0.1,2430,0.1353909465020576,1.0,18.793968200683594,29.76324462890625,96.83133697509766,205.3211212158203,96.83133304623172,205.32133331298817,0.0,0.0,0.0,0.0,prediction_sets_prompt_only_top1_alpha0.10.csv,seed0_calib0.40
temperature_conformal,0.1,2430,0.9094650205761317,40.124279835390944,18.793968200683594,29.76324462890625,119.14486694335938,236.42030334472656,21.510235685281792,34.82769584655762,97.63463580626764,439.4772716255345,516.1602783203125,0.0,prediction_sets_temperature_conformal_alpha0.10.csv,seed0_calib0.40
top1_singleton,0.1,2430,0.0925925925925925,1.0,18.793968200683594,29.76324462890625,119.14486694335938,236.42030334472656,119.14487149154944,236.42030639648436,0.0,0.0,0.0,0.0,prediction_sets_top1_singleton_alpha0.10.csv,seed0_calib0.40
topk_calibrated,0.1,2430,0.9181069958847736,43.0,18.793968200683594,29.76324462890625,119.14486694335938,236.42030334472656,20.968220073303566,33.78192977905273,98.17665141824588,460.8782851733298,516.1602783203125,0.0,prediction_sets_topk_calibrated_alpha0.10.csv,seed0_calib0.40
vanilla_conformal,0.1,2430,0.908641975308642,39.73415637860082,18.793968200683594,29.76324462890625,119.14486694335938,236.42030334472656,21.891542821558417,35.04528884887695,97.25332866999102,433.2256365740741,516.1602783203125,0.0,prediction_sets_vanilla_conformal_alpha0.10.csv,seed0_calib0.40
aps_conformal,0.1,2473,0.9268095430651032,45.130610594419736,18.791791915893555,29.368722915649418,139.592529296875,291.02935791015625,20.71096638175239,33.470915222167974,118.88155844344864,472.0090278782827,516.1602783203125,0.0,prediction_sets_aps_conformal_alpha0.10.csv,seed1_calib0.10
coras,0.1,2473,0.905378083299636,27.251920744035584,18.791791915893555,29.368722915649418,99.51852416992188,209.96546936035156,21.676743017376264,35.06170349121094,77.84178417008799,369.5961636775811,473.3093566894531,0.0,prediction_sets_coras_alpha0.10.csv,seed1_calib0.10
coras_aps,0.1,2473,0.9025475131419328,26.703598867771937,18.791791915893555,29.368722915649418,99.51852416992188,209.96546936035156,21.726051601896486,35.62914581298829,77.79247558556777,364.4903265046437,473.3093566894531,0.0,prediction_sets_coras_aps_alpha0.10.csv,seed1_calib0.10
