alpha,method,n_steps,n_episodes,step_coverage,episode_mean_coverage,episode_median_coverage,episode_all_steps_covered_rate,mean_set_size,episode_block_boot_mean,episode_block_boot_lo95,episode_block_boot_hi95,file,run_dir
0.1,aps_conformal,2524,20,0.9080824088748018,0.9072672460335433,0.923337160665956,0.0,42.55388272583201,0.9083440182880086,0.8853145483426801,0.927764764712075,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,coras,2524,20,0.8997622820919176,0.8967234262294375,0.907627666451196,0.0,27.42670364500792,0.8999059777538921,0.8774653317849336,0.9198894133009844,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,coras_aps,2524,20,0.9084786053882726,0.905181942185925,0.9223298014858116,0.0,28.321315372424724,0.9086244800801522,0.8886340852130326,0.9257019476835028,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,mondrian_domain,2524,20,0.8545958795562599,0.8557476412938669,0.8645178764897075,0.0,24.06259904912837,0.8542305880665042,0.8100771384132076,0.8905958105605183,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,prompt_only_top1,2524,20,0.1394611727416798,0.1392305085316343,0.1472712680577849,0.0,1.0,0.1397636438428553,0.1189766002330492,0.1616505830317651,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,temperature_conformal,2524,20,0.909270998415214,0.9098927281833068,0.9205281719019108,0.0,42.567749603803485,0.909602878243809,0.8876527593651222,0.9280520339172732,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,top1_singleton,2524,20,0.0832012678288431,0.0834416375364178,0.0800051203277009,0.0,1.0,0.0830677919102678,0.0706727314555777,0.0950464718323791,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,topk_calibrated,2524,20,0.901743264659271,0.9021412654281936,0.9158856469201296,0.0,43.0,0.9018709735582864,0.8834749682142431,0.919266556177852,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,vanilla_conformal,2524,20,0.9076862123613312,0.9061808118030557,0.9272717655770656,0.0,42.43621236133122,0.9079979933073417,0.8815589892101033,0.9300229137338086,prediction_sets_compact_alpha0.10.csv,seed0_calib0.10
0.1,aps_conformal,2629,20,0.9163179916317992,0.9139601072665215,0.9286228752520888,0.0,41.28604031951312,0.915911723673009,0.8938559660024145,0.9371751986984478,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,coras,2629,20,0.9071890452643592,0.896692103690852,0.9275172374494274,0.0,26.07151007987828,0.9065357111896172,0.8787747206431495,0.93090299246789,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,coras_aps,2629,20,0.9060479269684292,0.8951733655053786,0.9260356715482364,0.0,26.247242297451503,0.9054472067765864,0.8789107163056156,0.9285748879171972,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,mondrian_domain,2629,20,0.896538607835679,0.8913691985385748,0.9176850171405524,0.0,24.782807151007987,0.8960648503382533,0.8727923632707743,0.9174334514160516,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,prompt_only_top1,2629,20,0.1510079878280715,0.1442316890938277,0.1644800406814136,0.0,1.0,0.1507698372861772,0.129948601580228,0.1684454664371719,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,temperature_conformal,2629,20,0.9166983643971092,0.916088980267734,0.925813886488044,0.0,41.20768352985926,0.916263125514194,0.8934006201979103,0.9380918485948804,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,top1_singleton,2629,20,0.0966146823887409,0.0969423396812254,0.0982905982905983,0.0,1.0,0.0961532849764385,0.0759509402288718,0.1152949448016306,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,topk_calibrated,2629,20,0.9205020920502092,0.9212211686970756,0.930952380952381,0.0,44.0,0.9201175406799568,0.8993973171499767,0.939163360296907,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,vanilla_conformal,2629,20,0.9174591099277292,0.915295453950988,0.94346009795448,0.0,41.30011411182959,0.9170141314955438,0.8926794862984936,0.9399297682663472,prediction_sets_compact_alpha0.10.csv,seed0_calib0.25
0.1,aps_conformal,2430,20,0.9106995884773662,0.9122958702008293,0.928931370980643,0.0,40.0917695473251,0.9110959632301532,0.8838502464799742,0.937384940489918,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,coras,2430,20,0.8925925925925926,0.8944244596832462,0.9148512097895616,0.0,25.51687242798354,0.8930425768584781,0.8584371158043211,0.9240650019891072,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,coras_aps,2430,20,0.8905349794238683,0.8913269867093323,0.9126706891076533,0.0,25.61316872427983,0.8907959878153485,0.8612530390225889,0.9175872750358108,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,mondrian_domain,2430,20,0.8823045267489712,0.883682216812946,0.8784306826178747,0.0,24.44156378600823,0.8823285202391871,0.8663268699258536,0.8989204884885804,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,prompt_only_top1,2430,20,0.1353909465020576,0.1384611698719874,0.1447044334975369,0.0,1.0,0.1358418453814623,0.1147725333448398,0.1579596959658426,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,temperature_conformal,2430,20,0.9094650205761317,0.9120475675212738,0.93768043802887,0.0,40.124279835390944,0.9100264596479282,0.8822986844311448,0.937261845703778,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,top1_singleton,2430,20,0.0925925925925925,0.09666046111706,0.08968850698174,0.0,1.0,0.0932724263370681,0.0724661495515336,0.1148598526336752,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,topk_calibrated,2430,20,0.9181069958847736,0.9239035508922576,0.9416340203258956,0.0,43.0,0.9186386864062714,0.8968207783576156,0.9413417827608876,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,vanilla_conformal,2430,20,0.908641975308642,0.91042905424691,0.9287523520046316,0.0,39.73415637860082,0.9091610392346944,0.8805242653568365,0.9368652764276024,prediction_sets_compact_alpha0.10.csv,seed0_calib0.40
0.1,aps_conformal,2473,20,0.9268095430651032,0.9299372803652032,0.935238437574886,0.0,45.130610594419736,0.9272754961175338,0.90581183348808,0.9481118539556228,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,coras,2473,20,0.905378083299636,0.90491865832881,0.9157296721505503,0.05,27.251920744035584,0.90528118462087,0.8754103702045708,0.932960983956779,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,coras_aps,2473,20,0.9025475131419328,0.9023335628213782,0.912918892666343,0.05,26.703598867771937,0.902432693178753,0.8730994335289971,0.929733376990902,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,mondrian_domain,2473,20,0.9272139102304892,0.926378218836434,0.9389214966984591,0.05,29.040841083704,0.9271225720580728,0.907871192055552,0.944659120382682,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,prompt_only_top1,2473,20,0.154063890012131,0.1594091763721888,0.1458825847123719,0.0,1.0,0.1545450020467978,0.1280846639842768,0.1817068627450979,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,temperature_conformal,2473,20,0.9316619490497372,0.9331317352454144,0.9323421676362852,0.0,45.63121714516781,0.9319642463250544,0.9116351933119596,0.9528765582581116,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,top1_singleton,2473,20,0.0816821674080064,0.0824514095605477,0.0845112334474036,0.0,1.0,0.0818735891025507,0.0603626346171712,0.1052469504545472,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,topk_calibrated,2473,20,0.9320663162151234,0.934632484859557,0.9383491714442788,0.05,49.0,0.9324648032278104,0.91054342326323,0.9536317693659851,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
0.1,vanilla_conformal,2473,20,0.9296401132228064,0.9332907374618444,0.935238437574886,0.05,44.92640517589972,0.9300781363723668,0.9096308867204072,0.9514119087034624,prediction_sets_compact_alpha0.10.csv,seed1_calib0.10
