method,n_runs_x,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,median_set_size_mean,median_set_size_std,p90_set_size_mean,p90_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,ece_top1_mean,ece_top1_std,n_runs_y,top1_action_l2_mean_mean,top1_action_l2_mean_std,set_oracle_action_l2_mean_mean,set_oracle_action_l2_mean_std,action_l2_improvement_vs_top1_mean,action_l2_improvement_vs_top1_std,mean_set_action_diameter_mean,mean_set_action_diameter_std,n_runs,episode_mean_coverage_mean,episode_mean_coverage_std,episode_all_steps_covered_rate_mean,episode_all_steps_covered_rate_std,episode_block_boot_lo95_mean,episode_block_boot_lo95_std,episode_block_boot_hi95_mean,episode_block_boot_hi95_std
coras,9,0.9082656903072905,0.010483505169772027,0.010319652790344767,0.00818282246570496,27.168717036029072,1.0291868824008732,26.0,0.8660254037844386,40.755555555555574,1.8269586141393215,0.15457603620314841,0.014483292606534264,0.0,0.0,0.142854931054468,0.018037734216331074,9,98.25298733181424,3.8728262071339725,21.42637666869027,0.48436686751385194,76.82661098473196,3.729259156838247,368.3186576248852,11.09194153016235,9,0.9068644466049393,0.01153783665147351,0.01666666666666667,0.03535533905932738,0.8836213538132177,0.014934065767065262,0.930839506828175,0.008308001942329864
coras_aps,9,0.90863723787296,0.010178705285056763,0.010740575778767024,0.007599551963539133,27.30777417623501,1.2316294586098877,26.444444444444443,1.3333333333333335,41.888888888888886,1.6158932858054431,0.15457603620314841,0.014483292606534264,0.0002199985901755889,0.00034955588517226685,0.142854931054468,0.018037734216331074,9,98.25298733181424,3.8728262071339725,21.280152361224125,0.47723744608242213,76.9728352921981,3.8288553663045954,366.5456413301171,12.730010724770285,9,0.9071188851490093,0.01147229184665251,0.01666666666666667,0.03535533905932738,0.8851358654147095,0.014002448670751058,0.9300635357477446,0.008000898737722301
mondrian_domain,9,0.8992068871483127,0.02094857292552653,0.014990524681385564,0.013665469443451934,26.29846997401983,1.8210455558609344,24.333333333333332,1.7320508075688774,42.08888888888891,3.4887119558816084,0.15457603620314841,0.014483292606534264,0.0,0.0,0.142854931054468,0.018037734216331074,9,98.25298733181424,3.8728262071339725,21.69529687055189,0.8998739632588392,76.55769078287034,3.4152225657615123,360.72107242437295,14.73914008841487,9,0.8997061220035817,0.020972330140383508,0.011111111111111112,0.022047927592204922,0.8756578974735896,0.02760809731431177,0.9211677076526511,0.017605552358798404
vanilla_conformal,9,0.9095972541807572,0.01622157103515699,0.016233878515046433,0.00838325131070966,42.03648718519164,2.136911753629571,42.666666666666664,2.5,56.333333333333336,1.5,0.08905533963445884,0.008341381218683067,0.0,0.0,0.1805664092499509,0.012746883859056044,9,128.8960452609592,7.218627491904157,21.68529658125239,0.8161973671949051,107.21075172520301,7.6038098971267685,448.0863394223738,13.133871652926468,9,0.9108642551987022,0.01437559170553314,0.027777777777777776,0.03632415786283895,0.8811365387766672,0.02093204020722975,0.936240511220932,0.012590227498082227
temperature_conformal,9,0.9112823172205791,0.015283071129614904,0.01664441836309799,0.008068954998963583,42.3710223465607,2.116989611835978,42.55555555555556,2.2973414586817036,53.0111111111111,2.1097656531262317,0.08905533963445884,0.008341381218683067,0.0,0.0,0.016595989073691045,0.003497723328635433,9,128.8960452609592,7.218627491904157,21.44163674112235,0.7461179456260398,107.45441156533303,7.582882880791515,453.3965278046542,12.460645669632463,9,0.9130548540842922,0.013052189156419284,0.01666666666666667,0.025,0.8846915581659743,0.019925777088616547,0.9368016797300884,0.01136877848003409
aps_conformal,9,0.9117567105661694,0.01567314170947197,0.017482961192051154,0.00756865055679254,42.298997636909895,2.074746849923314,43.888888888888886,2.3687784005919825,53.888888888888886,0.927960727138337,0.08905533963445884,0.008341381218683067,0.0,0.0,0.1805664092499509,0.012746883859056044,9,128.8960452609592,7.218627491904157,21.444183548643494,0.7538310138587511,107.45186475781189,7.6024112821760115,450.58708679502536,13.079584589168796,9,0.9127832476039808,0.014065133388330426,0.01666666666666667,0.025,0.8850138423850367,0.01955949117301712,0.9367016934011839,0.012245960178666693
topk_calibrated,9,0.9126474617616659,0.015668138031958698,0.017736450791662556,0.008458086486150755,44.77777777777778,2.223610677354389,44.77777777777778,2.223610677354389,44.77777777777778,2.223610677354389,0.08905533963445884,0.008341381218683067,0.0,0.0,0.1805664092499509,0.012746883859056044,9,128.8960452609592,7.218627491904157,21.131240051381262,0.6883800625794947,107.76480825507412,7.410357480026237,471.04063124946765,10.738963417000583,9,0.9156450613911866,0.013685763112539835,0.03333333333333333,0.03535533905932738,0.88656101129081,0.01920495564083735,0.9373149553455714,0.012202974631028415
prompt_only_top1,9,0.15457603620314841,0.014483292606534264,0.7454239637968514,0.014483292606534274,1.0,0.0,1.0,0.0,1.0,0.0,0.15457603620314841,0.014483292606534264,0.8454239637968516,0.014483292606534262,0.142854931054468,0.018037734216331074,9,98.25298733181424,3.8728262071339725,98.25298765342221,3.8728274977186863,0.0,0.0,0.0,0.0,9,0.1555080953717694,0.015881350461144042,0.0,0.0,0.13197518841070932,0.012695070331934503,0.17780041330457064,0.016549422794154313
top1_singleton,9,0.08905533963445884,0.008341381218683067,0.8109446603655411,0.008341381218683087,1.0,0.0,1.0,0.0,1.0,0.0,0.08905533963445884,0.008341381218683067,0.9109446603655411,0.008341381218683084,0.1805664092499509,0.012746883859056044,9,128.8960452609592,7.218627491904157,128.89604830645538,7.218625167196578,0.0,0.0,0.0,0.0,9,0.09114492483716533,0.00867726169555802,0.0,0.0,0.07142675902301125,0.007818259738817493,0.10774561365840091,0.009555416798143418
