n,coverage,noncoverage_rate,mean_set_size,median_set_size,p90_set_size,top1_accuracy,singleton_rate,abstain_rate,empty_set_rate,fail_to_abstain_rate,ece_top1,unsafe_n,unsafe_coverage,unsafe_fail_to_abstain_rate,method,alpha,domain,seed,target_coverage,coverage_gap,result_file
22,0.1363636363636363,0.8636363636363636,1.0,1.0,1.0,0.1363636363636363,1.0,0.0,0.0,0.8636363636363636,0.0581676976176435,0,,,top1_singleton,0.1,autoeval_online_target_late,0,0.9,-0.7636363636363637,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,1.0,0.0,26.0,26.0,26.0,0.1363636363636363,0.0,1.0,0.0,0.0,0.0581676976176435,0,,,topk_calibrated,0.1,autoeval_online_target_late,0,0.9,0.0999999999999999,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,1.0,0.0,27.727272727272727,28.0,29.0,0.1363636363636363,0.0,1.0,0.0,0.0,0.0581676976176435,0,,,vanilla_conformal,0.1,autoeval_online_target_late,0,0.9,0.0999999999999999,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,1.0,0.0,25.727272727272727,26.0,26.0,0.1363636363636363,0.0,1.0,0.0,0.0,0.0581676976176435,0,,,aps_conformal,0.1,autoeval_online_target_late,0,0.9,0.0999999999999999,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,1.0,0.0,27.681818181818183,28.0,29.0,0.1363636363636363,0.0,1.0,0.0,0.0,0.0435229440761328,0,,,temperature_conformal,0.1,autoeval_online_target_late,0,0.9,0.0999999999999999,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,0.0454545454545454,0.9545454545454546,1.0,1.0,1.0,0.0454545454545454,1.0,0.0,0.0,0.9545454545454546,0.2108221508081085,0,,,prompt_only_top1,0.1,autoeval_online_target_late,0,0.9,-0.8545454545454546,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,0.8636363636363636,0.1363636363636363,13.363636363636363,12.0,17.0,0.0454545454545454,0.0,1.0,0.0,0.0,0.2108221508081085,0,,,coras,0.1,autoeval_online_target_late,0,0.9,-0.0363636363636363,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,0.9090909090909092,0.0909090909090909,13.227272727272728,12.0,16.900000000000002,0.0454545454545454,0.0,1.0,0.0,0.0,0.2108221508081085,0,,,coras_aps,0.1,autoeval_online_target_late,0,0.9,0.009090909090909,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
22,0.8636363636363636,0.1363636363636363,13.363636363636363,12.0,17.0,0.0454545454545454,0.0,1.0,0.0,0.0,0.2108221508081085,0,,,mondrian_domain,0.1,autoeval_online_target_late,0,0.9,-0.0363636363636363,results/autoeval_online_k32/seed0_calib0.25/metrics_by_domain_alpha0.10.csv
